#Thorlabs FTS
[SpectrumHeader]
#Date;20260828
#Time;9004789
#GMTTime;12004789
#Instrument;0
#InstrModel;CCS200
#Series;0
#InterferometerSerial;M00404267
#Type;emission
#ChannelIndex;0
#XAxisUnit;nm_vac
#YAxisUnit;intensity
#Average;1
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;60.000000
#TriggerMode;0
#AirMeasureOpt;0
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#WnrMin;9799.268555
#WnrMax;51674.531250
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#InstrStatus;0
#RefLaserLocked;0
#ChannelIndex;0
#AttenuationFilter;0
#Stitched;0
#ExcitationWavelength_nm;0
#SoftwareVersion;3.360000
#FirmwareVersion;
#Motor_FirmwareVersion;
#ReconstructionAlgorithms_SoftwareVersion;
#Sensor_FirmwareVersion;
#InstrSeriesIdentifier;MUN_CCS_SERIES
#RefGainIndex;0
#RefSignalInPerecent;0.0
#BBRefGainIndex;0
#BBRefSignalInPerecent;0.0
#AutogainStatus;0
#Name;
#Comment;""
#ExtComment;""
#Source;
[Data]
1.935262604e+02;7.447029464e-03
1.937292786e+02;5.328882486e-03
1.939322968e+02;6.508610211e-03
1.941353455e+02;5.516566336e-03
1.943384094e+02;5.570190493e-03
1.945414886e+02;4.739018623e-03
1.947445831e+02;6.213678047e-03
1.949476929e+02;4.819454625e-03
1.951508179e+02;5.811498500e-03
1.953539734e+02;5.409318488e-03
1.955571442e+02;6.589045748e-03
1.957603149e+02;4.068719223e-03
1.959635010e+02;7.312969770e-03
1.961667175e+02;6.052806042e-03
1.963699341e+02;7.205721457e-03
1.965731812e+02;5.784686189e-03
1.967764435e+02;7.018037606e-03
1.969797211e+02;4.551334772e-03
1.971830139e+02;6.642669905e-03
1.973863220e+02;4.604958929e-03
1.975896301e+02;6.535422057e-03
1.977929840e+02;6.481797900e-03
1.979963379e+02;4.658582620e-03
1.981997070e+02;6.562233903e-03
1.984030914e+02;6.320925895e-03
1.986064911e+02;6.749917753e-03
1.988099365e+02;5.141198635e-03
1.990133667e+02;4.417275079e-03
1.992168121e+02;4.953514785e-03
1.994202881e+02;4.631770775e-03
1.996237793e+02;4.739018623e-03
1.998272705e+02;4.068719223e-03
2.000308075e+02;5.087574478e-03
2.002343292e+02;4.604958929e-03
