voltage,x,y,r
-1.5,5.6897e-12,-2.70896e-13,5.696145252081972e-12
-1.4482758620689655,5.21053e-12,8.52656e-14,5.211227600426156e-12
-1.396551724137931,5.21141e-12,5.96859e-13,5.245477562051048e-12
-1.3448275862068966,5.22651e-12,5.98192e-13,5.26063118351439e-12
-1.293103448275862,5.20253e-12,2.82887e-13,5.21021529839881e-12
-1.2413793103448276,5.06575e-12,3.01983e-14,5.065840009299829e-12
-1.1896551724137931,4.75667e-12,-4.42315e-13,4.7771908113581776e-12
-1.1379310344827587,4.13183e-12,8.2601e-14,4.132655571675554e-12
-1.0862068965517242,4.60301e-12,5.60444e-13,4.637003184949952e-12
-1.0344827586206897,4.0892e-12,-7.2831e-13,4.153551744724026e-12
-0.9827586206896551,3.53807e-12,6.10626e-13,3.5903765034848367e-12
-0.9310344827586207,3.93333e-12,1.05427e-12,4.0721701980393704e-12
-0.8793103448275862,3.69263e-12,-3.1042e-13,3.7056547185753835e-12
-0.8275862068965517,2.83908e-12,-7.78048e-13,2.9437618682060545e-12
-0.7758620689655172,1.65157e-12,-2.85107e-13,1.675998050818974e-12
-0.7241379310344828,6.33719e-13,1.42109e-13,6.494572648311819e-13
-0.6724137931034483,-2.75337e-13,-8.85295e-13,9.271233470223906e-13
-0.6206896551724138,-1.3476e-12,-2.55131e-13,1.3715384016355503e-12
-0.5689655172413793,-4.44181e-12,1.69332e-12,4.753631106690968e-12
-0.5172413793103449,-9.75403e-12,1.49792e-12,9.868377048294212e-12
-0.4655172413793103,-1.59998e-11,1.32517e-12,1.605458425400359e-11
-0.4137931034482758,-2.42243e-11,2.88126e-12,2.4395048056472443e-11
-0.3620689655172413,-3.50016e-11,4.26328e-12,3.526028302379889e-11
-0.31034482758620685,-4.78872e-11,5.69858e-12,4.8225073746510745e-11
-0.2586206896551724,-6.52638e-11,5.51029e-12,6.549600664410083e-11
-0.2068965517241379,-8.79372e-11,7.15164e-12,8.822753027558688e-11
-0.15517241379310343,-1.14156e-10,1.14682e-11,1.1473060597434321e-10
-0.10344827586206895,-1.4304e-10,1.52057e-11,1.4384594159200321e-10
-0.051724137931034475,-1.7532e-10,1.81758e-11,1.7625964400746985e-10
0.0,-2.11146e-10,2.12809e-11,2.1221571577244228e-10
