# DRS4 export. File index 0, run_id=./medidas/run_20260911_121022
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #0  ts=2026-09-11 12:10:22.449  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
275.586   -11.3   -27.7    -5.3
277.246     4.7     3.7    -5.4
278.906    -5.5     7.7    -9.2
280.566    -4.7     6.9   -16.8
282.227   -13.0    -5.5   -23.7
283.887   -19.2   -32.9     2.6
285.547     6.3   -11.3    -5.0
287.207     4.2     0.9    -4.1
288.867     0.8     5.3    -7.2
290.527   -12.2    -2.1   -15.1
292.188   -20.0    -7.3   -16.5
293.848   -17.2   -30.2    -3.4
295.508     3.1   -16.9    -4.4
297.168     8.9     0.0    -9.3
298.828    -8.0     6.0    -5.6
300.488   -10.9    -1.0    -7.3
302.148   -10.6    -8.7   -16.8
303.809   -16.8   -32.2    -9.8
305.469    -0.7    -9.7    -1.4
307.129    11.3    10.5    -9.5
308.789     4.4     4.3   -11.4
310.449   -22.0    -1.4    -8.5
312.109   -18.0    -5.1   -13.0
313.770   -10.2   -27.0    -8.0
315.430    -6.0   -15.3     5.1
317.090    11.3    11.4   -12.7
318.750     2.8     4.5   -21.5
320.410   -25.0    -6.4     5.6
322.070   -13.5    -6.1    -5.1
323.730    -9.6   -10.9   -11.4
325.391    -6.3   -32.4   -13.2
327.051     1.6     6.6    11.0
328.711    12.5    17.1   -18.0
330.371     0.0     3.7   -30.0
332.031   -24.7   -15.6    11.1
333.691    -3.8   -16.4    -4.4
335.352     0.0   -26.2   -17.6
337.012    -3.2     0.0     1.5
338.672     4.8    19.4    -5.9
340.332     1.0    19.0   -15.1
341.992   -22.9    -8.8   -22.7
343.652    -2.5   -18.5     0.4
345.312     1.6   -17.8    -4.4
346.973     1.7   -14.7   -10.1
348.633     1.6    16.2    -9.5
350.293   -24.8    -4.7   -24.2
351.953   -25.0   -11.5   -22.8
353.613   -17.7   -20.5     7.2
355.273    11.4   -19.2     3.0
356.934     6.1   -10.5    -3.4
358.594    -3.9     8.9   -13.7
360.254    -6.8    13.8   -14.4
361.914   -26.1   -14.8   -18.0
363.574    -6.5   -10.2     2.0
365.234     5.4   -12.9     5.8
366.895    10.4   -13.1     5.1
368.555    10.4    -9.7    -3.2
370.215   -22.7     1.3   -23.3
371.875   -25.2    -3.4   -21.0
373.535   -23.0   -19.9    -8.0
375.195    -3.3    -5.8     3.3
376.855    11.0    -4.3     1.6
378.516    10.2   -11.4     0.2
380.176   -15.0    -3.0   -22.2
381.836   -28.1    -8.2   -24.6
383.496   -30.6   -15.2    -7.0
385.156    -1.0    -2.9    -2.2
386.816     9.4    -2.5    -4.0
388.477    11.1    -6.0     3.3
390.137    -0.5    -5.1   -15.8
391.797   -25.7   -16.0   -24.1
393.457   -16.2    -2.1    -1.5
395.117     6.9     4.1    -7.4
396.777     6.1     1.4    -5.2
398.438     7.2   -10.1     5.4
400.098     2.0    -1.1   -10.4
401.758    -9.5    -7.0   -18.9
403.418   -22.1    -6.2    -2.7
405.078     0.2     3.1    -8.3
406.738     3.6     1.7    -8.4
408.398     1.4   -11.2     1.7
410.059    -0.1    -5.7    -1.7
411.719    -3.9    -4.1   -12.3
413.379   -21.9   -17.2    -8.2
415.039    -5.6     5.6    -7.6
416.699    -0.3     0.9   -14.5
418.359     0.2    -8.3    -5.7
420.020    -1.4   -10.5     4.9
421.680    -7.4    -9.5   -16.1
423.340   -20.7    -3.9    -8.7
425.000   -22.7    -3.1    -5.9
426.660   -13.5     7.3    -2.1
428.320     0.5   -14.4   -11.0
429.980    -0.7   -15.9    -6.9
431.641    -5.2   -12.8     1.4
433.301    -2.1   -10.8   -11.3
434.961    -5.9    -8.0   -16.4
436.621    -6.1     2.1    -5.5
438.281    -0.6    -8.4   -12.2
439.941    -2.4   -21.4   -13.6
441.602    -9.2   -15.2     4.2
443.262    -4.2    -6.8     1.7
444.922    -5.4    -3.1   -11.1
446.582    -9.0     0.6    -9.3
448.242    -3.9     2.3   -10.4
449.902    -6.3   -18.2   -11.5
451.562   -12.9   -25.0     0.0
453.223    -0.9    -9.4    -5.8
454.883     0.5     2.2   -14.2
456.543    -4.5    -0.5   -10.2
458.203    -6.2     2.9    -5.7
459.863    -5.4     0.3   -12.8
461.523   -13.0   -25.3    -1.6
463.184    -8.9   -25.4     0.4
464.844    -2.0    -8.3    -7.7
466.504   -11.1    -0.1   -10.8
468.164    -3.3     3.1   -11.7
469.824    -1.9     4.8   -10.1
471.484   -11.1    -8.8    -7.0
473.145    -8.8   -19.4     3.5
474.805    -5.3   -10.5   -12.2
476.465    -4.8    -6.9   -13.0
478.125    -6.5     0.4   -10.8
479.785    -5.7    10.3    -7.7
481.445    -9.1    -6.9    -8.6
483.105   -10.9   -13.4     2.9
484.766     0.5    -5.3    -8.0
486.426     1.8   -10.0   -11.7
488.086    -9.4    -7.6    -7.4
489.746   -14.0     2.3    -7.0
491.406    -8.6    -1.5   -19.3
493.066   -13.2   -15.7     2.3
494.727    -5.4    -4.3     9.2
496.387     6.9   -11.1   -13.8
498.047   -17.4   -15.3    -2.1
499.707    -4.5     5.8   -13.7
501.367    -1.9    -1.0   -21.2
503.027    -8.5    -8.1    -8.7
504.688    -5.2    -2.2    10.5
506.348     4.7   -13.2   -16.0
508.008   -10.8   -22.1   -13.6
509.668   -16.1    -8.5     2.6
511.328    -1.7     2.4    -8.6
512.988    -9.8     2.8   -20.0
514.648   -12.2    -3.0    -2.6
516.309     2.6    -6.2    -0.1
517.969     4.2   -11.2    -2.5
519.629   -14.2   -12.8    -1.2
521.289    -2.0    -0.7   -10.3
522.949    -4.8     2.7   -18.3
524.609   -13.6     2.5   -10.7
526.270    -6.3    -4.4    -4.9
527.930    -2.4   -20.2    -1.9
529.590    -5.5   -20.4     0.4
531.250    -6.7     3.8   -11.9
532.910   -12.9    -0.1   -10.4
534.570   -15.2     0.1    -8.6
536.230    -4.8    -6.4    -8.8
537.891    -7.7   -12.0    -4.6
539.551    -8.0   -23.4     3.5
541.211    -1.9     4.9    -7.4
542.871    -2.2     7.4   -12.5
544.531    -9.4    -4.9    -8.8
546.191    -9.6     0.6   -16.9
547.852   -13.8   -11.7   -10.7
549.512   -12.3   -26.0     1.4
551.172     4.0     6.7    -3.4
552.832    -1.8     3.7   -10.3
554.492    -3.5     0.0    -9.7
556.152    -7.7    -3.3   -10.9
557.812   -12.8    -3.1   -17.5
559.473   -20.1   -19.4    -5.1
561.133     1.3    -5.4     2.2
562.793     7.8     0.0     0.0
564.453     1.7    -4.5    -2.8
566.113    -5.9    -3.6    -4.8
567.773   -11.7    -9.2   -24.4
569.434   -23.9   -22.3   -11.5
571.094     3.5     4.4    -5.7
572.754     8.8    -4.0    -6.3
574.414     5.0    -6.8    -3.0
576.074    -2.8     3.3    -7.8
577.734   -14.0   -12.8   -28.2
579.395   -17.9   -16.6   -28.6
581.055    -3.0     4.4     3.4
582.715     1.3    -6.9    -5.7
584.375    -5.0   -11.9     0.1
586.035     3.1     0.6    -5.4
587.695     1.8     0.9   -19.8
589.355   -27.4   -21.4   -16.2
591.016   -26.3   -13.4    -3.5
592.676    -1.7     0.6     0.5
594.336     4.4    -9.5   -14.3
595.996    -4.7    -7.4     4.7
597.656     1.5     2.7     1.5
599.316   -18.2   -21.3   -25.0
600.977   -16.7   -19.7   -26.8
602.637    -8.7    -2.0     4.0
604.297     4.0    -9.3   -12.4
605.957    -2.9   -11.1    -5.3
607.617     0.0    -1.3     1.2
609.277    -4.6    -4.0   -16.5
610.938   -18.0   -13.7   -19.4
612.598   -19.0    -7.1    -1.7
614.258     0.1   -14.5    -6.5
615.918    -1.1   -12.0    -5.6
617.578    -6.3     2.6    -2.8
619.238    -1.5     0.2    -8.4
620.898    -7.7    -9.4   -11.8
622.559    -2.9    -6.0    -6.0
624.219    -3.6   -11.1   -11.6
625.879    -7.0   -14.3    -4.0
627.539    -8.3    -8.2    -2.7
629.199    -5.7     3.7   -10.0
630.859   -10.0    -9.5    -6.0
632.520    -3.9    -2.6    -3.3
634.180    -2.7    -8.4    -8.1
635.840   -10.4   -13.9    -3.4
637.500    -5.2    -7.7    -7.7
639.160    -9.4     0.5   -12.2
640.820    -9.1    -6.0    -2.3
642.480    -7.3    -4.9     0.9
644.141    -4.4    -8.9    -6.7
645.801   -10.5   -13.1    -4.8
647.461    -6.2    -6.6    -9.6
649.121    -7.6    -0.4   -16.8
650.781   -11.8    -4.2    -3.3
652.441    -5.0    -1.5    -2.1
654.102    -1.8    -6.6    -7.5
655.762    -6.7   -18.2    -1.3
657.422    -7.2     2.3   -14.2
659.082    -6.5     0.1   -20.2
660.742   -10.6    -8.0    -5.7
662.402    -1.7     1.1    -2.0
664.062     0.5    -0.7    -6.6
665.723    -4.6   -22.7    -1.2
667.383    -3.9   -19.2    -1.5
669.043    -6.2     1.0   -21.3
670.703    -8.3    -2.8   -21.0
672.363   -10.8    -2.3     2.1
674.023     3.4    -8.9    -6.7
675.684    -0.4   -20.2    -7.5
677.344    -8.6    -2.2    -8.2
679.004    -1.8    -2.7   -20.9
680.664    -3.0    -3.2   -20.5
682.324   -15.1    -0.7    -6.7
683.984     2.2   -10.8    -4.6
685.645     0.4   -20.1    -6.4
687.305    -6.5   -17.1    -1.6
688.965    -0.1    -8.5   -12.4
690.625   -10.0     4.4   -13.2
692.285    -7.4     0.9    -5.0
693.945    -8.5     1.3    -4.1
695.605     3.8   -11.9   -11.1
697.266    -9.3   -17.5    -0.9
698.926    -6.1    -8.8     0.2
700.586     1.9    -0.7   -12.7
702.246   -13.9     0.4    -9.9
703.906   -15.5     0.2    -8.0
705.566    -1.9    -5.7   -12.2
707.227    -3.2    -8.1   -10.3
708.887    -5.3   -16.5    -3.4
710.547     1.3    -4.4   -15.6
712.207   -10.3    -2.8    -5.4
713.867    -7.7    -3.7    -6.2
715.527    -3.9    -0.7   -14.2
717.188    -6.8    -7.4    -8.3
718.848    -4.7   -20.0     0.4
720.508    -7.5    -4.3    -9.5
722.168    -9.9    -4.1   -10.1
723.828    -4.5     1.1    -8.7
725.488    -6.5     0.9    -8.0
727.148    -8.6   -15.0    -0.8
728.809    -3.4   -13.6    -0.2
730.469    -3.1   -10.3    -6.4
732.129   -12.3   -15.4    -4.3
733.789   -10.8    -5.3    -6.0
735.449     1.8    10.0   -16.0
737.109   -10.1    -8.8    -5.3
738.770    -8.7    -9.0     1.1
740.430     0.0   -10.2   -12.2
742.090    -7.4   -23.9    -3.2
743.750   -13.4    -7.0    -1.7
745.410     4.3    11.3   -19.7
747.070    -2.0    -2.1   -18.6
748.730   -10.2    -1.1     5.3
750.391    -5.6    -1.1    -0.3
752.051   -18.5   -26.1    -2.9
753.711   -17.4   -11.3     8.6
755.371    -3.5     7.5    -1.3
757.031     0.0     3.1   -22.1
758.691   -16.8    -0.4     2.1
760.352    -9.1    -2.7     1.7
762.012   -18.9   -31.9   -14.4
763.672   -16.6   -15.4     6.5
765.332     8.7     8.7     1.4
766.992     6.6     9.8   -20.4
768.652    -6.5    -1.0     0.6
770.312    -8.8    -3.2     0.2
771.973   -19.8   -29.9    -9.2
773.633   -20.1   -30.0    -8.2
775.293     9.2     5.8     2.8
776.953     7.9    13.4    -9.5
778.613     0.6    11.5   -11.8
780.273   -12.3    -6.9   -11.2
781.934   -19.8   -26.5    -9.2
783.594   -12.4   -19.5     0.6
785.254     7.3     8.7    -1.5
786.914     4.5     4.2    -6.8
788.574     5.1     3.9    -7.7
790.234   -20.0   -20.5   -13.0
791.895   -21.0   -26.5   -12.1
793.555   -10.0   -16.7    -0.1
795.215     4.1     6.6    -1.9
796.875    11.3    11.3    -1.7
798.535     3.1    -1.1    -9.2
800.195   -21.7   -10.9   -21.3
801.855   -30.8   -28.7   -13.3
803.516   -14.1   -20.8     2.6
805.176    13.0    10.7    -1.5
806.836    15.4    10.2    -1.0
808.496    -0.1     2.9   -10.0
810.156   -13.7   -12.4   -22.7
811.816   -30.2   -28.5   -23.0
813.477   -22.9   -18.2     1.9
815.137     8.5     8.0    -2.0
816.797    11.7     9.7     4.3
818.457     9.0     8.6     2.8
820.117     0.6    -4.5   -20.6
821.777   -40.0   -37.2   -15.3
823.438    -4.1     3.3    -3.8
825.098    11.7     7.6     6.3
826.758    14.1    10.9     2.3
828.418     8.1     5.1   -14.9
830.078   -24.7   -27.3   -27.8
831.738   -40.3   -32.6    -5.7
833.398   -35.9   -25.8    -0.7
835.059    12.5     8.3    -9.0
836.719    11.4     6.4     5.3
838.379     9.2    -0.7    -8.6
840.039   -13.6   -22.1   -30.1
841.699   -30.3   -21.3     0.3
843.359   -20.6    -4.5     3.8
845.020    14.2     7.0   -10.1
846.680     8.4     8.8     3.1
848.340     3.8     2.5    -3.4
850.000    -4.6   -17.4   -20.9
851.660   -34.9   -35.7   -19.7
853.320   -19.8    -4.5     1.8
854.980    11.9     4.5    -3.1
856.641    10.7    10.8     3.0
858.301     4.2     9.7     3.3
859.961   -22.2   -29.8   -26.3
861.621   -24.9   -31.3   -25.4
863.281    -6.1    -0.6    -0.1
864.941    20.0     4.4    -8.0
866.602    14.4     5.0    -3.7
868.262    -2.4    -4.6    -7.9
869.922   -11.5   -12.0   -16.7
871.582   -30.5   -28.6   -13.0
873.242   -28.4   -18.2    -4.2
874.902    11.3     7.6    -3.2
876.562     2.0     1.9    -3.9
878.223     2.1     6.1     2.0
879.883   -27.2   -25.8   -20.2
881.543   -30.0   -23.9   -17.6
883.203    -6.4   -10.5     2.2
884.863    14.2    14.1    -2.5
886.523     5.4     5.9    -4.4
888.184   -12.5   -11.0   -14.8
889.844   -30.4   -19.8   -17.3
891.504   -27.6   -25.6   -10.9
893.164     1.3    -3.1    -2.1
894.824    13.6    12.5     0.9
896.484    14.6    12.8     0.6
898.145    -3.0    -2.9    -7.9
899.805   -31.0   -25.5   -21.8
901.465   -30.1   -30.1    -7.1
903.125    -0.2     1.6     0.8
904.785    17.8    18.8     1.4
906.445     8.7     2.4     0.3
908.105    -5.2    -2.2    -5.2
909.766   -28.9   -28.0   -23.7
911.426   -29.2   -37.5   -12.8
913.086     2.7    13.0    -0.6
914.746    22.9    15.7    -0.4
916.406    -3.8     0.3     3.9
918.066   -26.1   -23.9   -27.2
919.727   -26.1   -35.2   -30.5
921.387   -26.2   -25.5    -2.3
923.047     8.8    15.5    10.2
924.707    20.3    14.3   -10.2
926.367    -8.5    -1.8     1.4
928.027   -22.9   -16.9    -6.2
929.688   -23.3   -32.2   -21.9
931.348   -14.7    -7.3     3.5
933.008     7.6    10.9     7.6
934.668    24.8    20.1    -5.0
936.328    -1.3     7.3    -8.2
937.988   -14.6   -19.5    -7.7
