# DRS4 export. File index 0, run_id=./medidas/run_20260925_134941
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #7  ts=2026-09-25 13:49:46.444  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000     0.7    22.5     4.3
199.219   -50.4   -19.9   -10.4
200.879   -61.2   -42.5   -13.6
202.539  -129.8  -244.5   -10.5
204.199  -155.2  -499.9    -4.1
205.859  -144.5  -499.9    -8.6
207.520  -106.5  -499.9    -6.5
209.180  -101.0  -499.9    -2.9
210.840   -87.9  -472.4    -9.5
212.500   -55.3  -386.0   -12.3
214.160   -54.3  -297.6    -6.9
215.820   -44.8  -223.1    -1.1
217.480   -26.7  -193.3   -15.0
219.141   -15.2  -140.7     0.4
220.801   -12.9  -100.1     9.0
222.461   -25.5   -69.3    -9.8
224.121   -35.7   -74.9   -18.4
225.781   -30.2   -79.1    -8.4
227.441    -3.0   -68.7   -11.8
350.293   -53.9   -17.4   -25.2
360.254   -53.3   -29.8   -39.9
1145.508   -52.8   -26.0   -35.8
1211.914   -58.4    -5.2   -32.5
1221.875   -59.7     8.9   -33.5
1241.797   -63.4   -10.5   -43.8
1243.457   -53.0   -11.8   -29.2
1251.758   -62.4     2.4   -45.2
1253.418   -64.5   -15.3   -45.3
1263.379   -50.8   -12.7   -37.8
1273.340   -50.2     2.8   -31.7
1281.641   -50.1    -1.3   -24.3
1630.273   -51.9    -8.1   -25.6
1641.895   -53.6   -14.0   -31.8
1698.340     1.2    18.2    -2.3

Event #15  ts=2026-09-25 13:49:52.445  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000    17.0   -19.4     1.6
 49.805   -67.3    -0.4   -19.5
 59.766   -64.5   -15.2   -33.8
 61.426   -52.9    -9.2    -3.1
 69.727   -59.3   -31.1   -38.5
 71.387   -56.1   -22.7   -15.1
204.199   -89.1   -54.2   -34.7
205.859  -132.4   -75.3   -57.6
207.520  -171.4  -125.3   -86.5
209.180  -125.6  -167.8   -99.9
210.840   -64.4  -146.9   -99.7
212.500   -65.3  -148.2  -100.2
214.160   -55.7   -98.8   -53.3
215.820   -62.5   -69.5   -70.8
217.480   -64.0   -76.8   -82.6
219.141   -65.8   -61.8   -57.0
222.461     9.5   -56.3   -48.5
433.301     2.0   -52.8   -28.7
479.785   -55.1    -0.6   -16.0
489.746   -56.3   -23.1   -29.2
685.645     6.2   -50.6   -32.4
702.246   -59.5     6.7   -24.8
712.207   -59.1     2.0   -24.0
722.168   -67.1    17.5    -3.0
733.789   -68.3    -7.3   -19.0
743.750   -58.3   -11.1   -14.2
1245.117   -20.3   -47.5   -57.1
1477.539   -54.4     1.6   -24.1
1479.199   -52.9    11.4     1.9
1507.422   -52.8    -2.1   -27.7
1656.836   -51.1   -11.5   -29.6
1666.797   -50.3    -1.1   -14.1
1698.340    12.6   -20.1    -6.5

Event #19  ts=2026-09-25 13:49:54.472  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000     6.0   -14.9   -12.1
 21.582   -55.3   -17.8   -45.5
 31.543   -58.9    -7.3   -36.9
202.539   -69.6    -7.2   -16.8
204.199   -87.2    -2.9     1.8
205.859  -196.9   -75.5    -9.8
207.520  -303.5  -140.1    -1.9
209.180  -306.4  -149.1   -19.6
210.840  -302.0  -145.9   -13.3
212.500  -246.0  -131.9   -40.4
