# DRS4 export. File index 1, run_id=./medidas/run_20260925_113849
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #422  ts=2026-09-25 11:43:52.885  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000    15.8     8.1   -17.9
  2.002    35.6     5.5     3.5
  4.004    -5.2    13.7    -5.9
  6.006    -2.1   -15.2   -28.9
  8.008   -14.2   -25.9   -11.4
 10.010     4.5     9.5    11.6
 12.012    15.3     5.8     0.0
 14.014     1.9     2.1     5.6
 16.016   -14.8    -9.0    -8.7
 18.018    -3.9   -14.5    -1.8
 20.020   -13.3    -5.1     5.7
 22.021     8.3     8.2     1.9
 24.023   -20.6    -0.9   -14.4
 26.025     4.6    15.0     8.3
 28.027    13.2   -15.0   -18.4
 30.029    15.3    -1.8    -3.3
 32.031   -26.1     7.0    -5.1
 34.033   -12.6     2.4   -23.2
 36.035    -3.8   -12.5    -2.1
 38.037    27.6     9.4    13.7
 40.039    -6.0   -12.9   -22.1
 42.041   -35.2     8.5     1.5
 44.043   -31.7    -1.3    -8.3
 46.045     9.5    14.3    16.6
 48.047    23.9     8.0    14.3
 50.049    14.2    -5.7    -2.1
 52.051   -35.5   -26.2   -15.6
 54.053   -18.8     6.9   -13.6
 56.055    -1.9   -22.0   -20.7
 58.057    32.3    -9.3     9.4
 60.059   -12.5   -15.3    -0.8
 62.061   -18.9    -3.7     2.5
 64.062   -33.5   -21.1   -36.5
 66.064     0.1    10.5    37.0
 68.066    38.4     4.0    13.3
 70.068     4.2     4.8   -15.2
 72.070   -24.6   -12.1    -6.2
 74.072   -11.2   -12.5   -24.1
 76.074    -1.8    -4.8    11.2
 78.076    38.0    17.1    13.3
 80.078    12.2     4.6    -4.0
 82.080   -17.8     5.0    -0.2
 84.082   -24.5    -5.3   -21.0
 86.084   -13.6    -9.6    -2.7
 88.086     2.5     8.0    15.5
 90.088    18.2    15.3    -2.8
 92.090   -13.7    -3.7   -29.4
 94.092   -12.2    -3.1    -5.3
 96.094   -12.8    -7.5   -17.2
 98.096     1.6     4.5   -15.2
100.098     0.3   -15.0     2.5
102.100    10.7    -7.5     3.4
104.102     0.1    -7.2   -29.2
106.104   -20.8    29.2     3.0
108.105    -2.1   -11.4   -21.7
110.107     1.6   -15.5   -24.6
112.109     5.0   -12.1     4.0
114.111    11.0   -15.8    -5.0
116.113    -7.0     1.1   -12.3
118.115   -19.8    -3.9   -15.6
120.117     8.8   -10.5   -17.9
122.119    20.2   -17.1     9.9
124.121     9.5     3.9   -20.0
126.123   -18.9     0.0   -10.4
128.125   -12.7    -5.7     1.3
130.127    -1.2   -17.5     3.9
132.129    21.7   -16.6    12.8
134.131    25.6    12.0    -9.0
136.133   -27.6    12.5    -7.4
138.135   -48.3    -2.7   -22.8
140.137    22.6   -24.6    14.8
142.139    20.5   -15.0    10.4
144.141   -10.8   -13.5   -36.9
146.143   -10.8   -12.0   -19.8
148.145   -36.9    21.3    10.2
150.146    -5.6   -22.8   -43.8
152.148    17.7    -5.7    12.3
154.150    16.1    23.4    -1.8
156.152    -9.0   -12.8    -3.1
158.154    -8.6    11.2   -11.1
160.156    21.7   -27.7    -1.1
162.158    41.6     3.9    -0.2
164.160     3.9     7.0   -16.0
166.162   -20.0    20.4    -2.2
168.164   -32.1   -14.5   -16.8
170.166     7.5   -23.6     0.8
172.168    -2.6   -29.6   -11.9
174.170     5.0    13.7     0.1
176.172   -20.3    27.0     2.5
178.174   -14.6     7.1    -8.6
180.176   -16.0   -34.7   -38.2
182.178    25.3    -7.7    23.2
184.180     7.3     6.7    -3.2
186.182   -26.0    29.7    11.3
188.184   -14.0    -9.4   -22.0
190.186     8.8   -34.3    -6.7
192.188    -0.7    -6.8     3.6
194.189     7.5     2.1     2.2
196.191   -21.9    16.5    -0.1
198.193   -14.3    -3.1     8.7
200.195    -2.1   -32.3    -7.3
202.197    13.7   -14.3     0.1
204.199   -23.5    15.3   -19.5
206.201    -2.1    30.1     4.0
208.203   -21.9     8.6   -39.0
210.205    -1.2    -5.5    -1.0
212.207     8.6   -23.0   -11.2
214.209    -7.1    18.6     1.7
216.211   -23.5    22.0   -12.6
218.213     3.9    19.3    -1.3
220.215    -2.4   -17.7   -13.5
222.217     1.9   -16.0    -7.5
224.219    -9.2    17.1    11.2
226.221   -14.2     6.9   -14.2
228.223    -0.5     4.1   -16.2
230.225    30.7    -3.5    17.1
232.227     5.9   -10.5   -11.6
