# DRS4 export. File index 0, run_id=./medidas/run_20260925_134629
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #0  ts=2026-09-25 13:46:29.777  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000   -10.2   -26.7   -15.3
 13.281   -18.6    -8.3   -30.5
 31.543   -13.2   -31.4   -25.4
114.551   -33.8     1.3    -6.2
124.512   -36.1    -9.9   -22.4
134.473   -50.4   -18.1   -35.9
136.133   -36.8   -21.0   -21.4
144.434   -42.0   -10.1   -27.7
146.094   -39.5   -23.3   -35.4
156.055   -34.9   -25.4   -26.4
164.355   -34.6   -17.2   -21.4
207.520   -24.1   -40.8    -1.6
209.180  -111.2   -95.7   -20.2
210.840  -136.5   -99.0    -1.0
212.500  -138.1   -98.9     0.5
214.160   -87.5   -94.6    -8.1
215.820   -82.9   -93.9    -8.1
217.480   -64.8  -104.8    -6.5
219.141   -62.2   -99.4   -14.4
220.801   -52.3   -53.1    -7.9
222.461   -48.1    -8.2   -12.1
224.121   -32.6   -22.5   -15.0
225.781   -24.0   -34.9    -5.5
227.441     1.1   -42.7    -2.3
229.102     6.8   -46.8    -9.1
230.762   -10.1   -38.5   -15.9
232.422   -38.6     8.3   -10.0
239.062     3.7   -33.7     2.8
244.043   -32.7     2.1   -13.3
262.305   -30.6    -3.9   -16.7
263.965   -35.9    -9.6   -26.0
273.926   -21.1   -21.2   -30.9
320.410   -36.3   -16.6   -12.4
340.332   -39.0   -21.1   -23.6
350.293   -31.5   -17.7   -16.6
360.254   -43.9   -12.2   -13.2
361.914   -37.0   -11.5   -21.8
371.875   -48.5   -18.3   -31.7
381.836   -51.5   -26.8   -27.6
390.137   -31.3    -0.3   -22.4
391.797   -51.3   -32.3   -37.1
401.758   -45.8   -42.8   -28.8
411.719   -42.8   -37.6   -34.3
413.379   -26.2   -38.9   -15.5
421.680   -23.3   -42.7   -24.8
448.242   -32.7     9.3    -4.5
458.203   -37.3    -6.6   -17.6
512.988   -12.2   -31.4   -21.9
531.250   -30.9    -2.4   -10.8
541.211   -37.5   -17.0   -15.7
561.133   -33.2     5.3    -6.9
569.434   -32.7   -12.4   -28.9
579.395   -31.3   -13.0   -22.2
587.695   -31.5    -6.8   -12.0
597.656   -44.0   -18.3   -26.0
605.957   -39.4   -16.5   -23.7
