# DRS4 export. File index 0, run_id=./medidas/run_20260925_120111
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #1  ts=2026-09-25 12:01:13.105  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000    -1.5   -24.5   -33.6
  1.660    -5.1   -16.9   -24.4
  3.320   -11.1    16.0     9.7
  4.980    -8.2    -0.3   -21.0
  6.641    -1.9   -31.4    -7.3
  8.301    -3.9   -19.5     8.0
  9.961     3.5    -7.2    -5.8
 11.621     1.2    -3.6   -12.5
 13.281   -21.1     7.0    -9.5
 14.941   -25.4     2.8   -14.5
 16.602     9.7   -21.8     0.4
 18.262    10.1   -20.2     0.4
 19.922     0.7    -4.3    -4.2
 21.582   -13.1     5.9     2.1
 23.242   -25.7     8.9   -11.8
 24.902   -24.1   -18.5   -21.9
 26.562     0.8    -8.7     6.5
 28.223    20.1    -8.2    -3.3
 29.883    18.1    -5.1    -7.6
 31.543   -10.6    13.9     5.9
 33.203   -26.8   -10.1   -30.4
 34.863   -35.2   -29.6   -40.1
 36.523    -9.0   -10.9     8.2
 38.184    26.8     2.3     8.1
 39.844    29.1    -0.5    -5.7
 41.504     5.6    -0.3   -10.3
 43.164   -30.5   -33.4   -30.7
 44.824   -32.8   -30.0   -29.9
 46.484    21.1     7.2    14.0
 48.145    29.8    18.3    16.8
 49.805    22.8    19.6    10.2
 51.465   -15.3    -2.7   -16.5
 53.125   -26.8   -29.8   -16.9
 54.785   -27.6   -33.0   -15.2
 56.445    -9.1   -16.4   -12.2
 58.105    16.6    10.4     7.4
 59.766     7.7    20.2     3.8
 61.426     0.0     7.2    -5.6
 63.086   -20.7   -23.3   -19.0
 64.746   -24.0   -29.6   -22.9
 66.406   -10.5   -14.5    -9.4
 68.066     6.2     4.6    -2.2
 69.727     3.5    12.7    -0.7
 71.387    -3.5     8.5    -0.8
 73.047   -13.1    -9.7    -6.8
 74.707   -13.0   -35.2   -21.7
 76.367    -9.6   -16.3    -6.1
 78.027     2.0     7.7     0.4
 79.688     3.3     3.9   -11.5
 81.348     6.2    16.5    10.2
 83.008     4.4     1.5     7.0
 84.668    -4.3   -28.5   -22.9
 86.328    -7.1    -2.2     3.0
 87.988    -8.9     2.4   -10.9
 89.648    -6.3    -1.3   -17.2
 91.309    -7.4    -5.0     0.2
 92.969    -4.9   -12.1    -6.6
 94.629     0.3   -19.1   -10.1
 96.289    -2.1    -9.3    -5.1
 97.949   -12.7    -7.9   -15.8
 99.609   -12.6    -7.0    -6.1
101.270   -10.5    -7.2    -7.6
102.930     0.3   -10.0   -13.1
104.590     5.7    -5.0     3.4
106.250    -4.9    -3.9    -6.8
107.910   -13.6   -19.2   -22.1
109.570   -14.5     0.9     9.1
111.230   -17.1     4.5     1.1
112.891    -4.5   -20.0   -28.4
114.551     1.1     7.0    16.0
116.211    -2.5     8.8     9.4
117.871   -10.8   -21.4   -13.5
119.531   -18.5     2.5     2.0
121.191   -12.7     0.2    -9.3
122.852    -2.3   -12.2   -13.6
124.512     2.3     6.7    14.2
126.172     6.7    -3.3    -9.8
127.832    -0.8   -28.0   -24.1
129.492    -9.5    -4.4     3.2
131.152   -18.3     2.3    -7.1
132.812   -16.8    -8.0   -21.8
134.473   -10.5    -1.9    -2.7
136.133    -1.3     0.7     4.1
137.793    13.0   -17.4    -9.9
139.453   -10.8    -3.2    -9.5
141.113    -9.6    -3.8   -17.7
142.773   -29.0    -7.4   -20.1
144.434   -24.2    -5.2    -3.1
146.094    -1.6   -11.2    -1.6
147.754    16.4   -14.6    -8.3
149.414     8.6    -0.9     1.2
151.074    -9.6     0.8    -6.3
152.734   -32.6   -12.9   -25.5
154.395   -23.3    -1.8    -5.1
156.055   -16.0    -8.4     1.2
157.715    22.2   -18.4   -10.3
159.375    19.0     5.4     9.5
161.035   -17.0     7.6     2.0
162.695   -36.5   -20.6   -37.1
164.355   -30.8   -18.4   -21.8
166.016    -9.2   -12.5     0.7
167.676    20.1   -16.2   -12.7
169.336    30.2    11.0    15.4
170.996   -15.6     6.4    -6.6
172.656   -27.6   -14.5   -31.3
174.316   -41.6   -27.6   -29.7
175.977   -35.4   -20.6   -10.2
177.637    25.7    -3.6     3.4
179.297    32.1     1.7     8.7
180.957    22.9    14.8     2.4
182.617   -37.6   -18.5   -14.6
184.277   -44.7   -35.3   -26.5
185.938   -45.9   -39.7   -30.7
187.598    13.3     2.7    14.2
189.258    29.2    25.7    16.8
190.918    21.0     4.9    -8.4
192.578    -5.7    -5.5    -1.4
194.238   -40.8   -19.4   -16.9
195.898   -49.4   -22.4   -31.9
197.559    -8.9    -2.6     7.5
199.219    -7.5     5.1    12.1
200.879   -16.1     2.5   -31.8
202.539   -84.6   -72.9   -83.7
204.199  -126.8   -83.8  -104.0
205.859  -153.1  -121.9  -151.6
207.520  -118.9  -109.7  -132.8
209.180  -103.5   -97.9  -119.0
210.840   -48.1   -42.8   -76.3
212.500   -12.2   -34.7   -59.6
214.160   -32.8   -53.5   -83.1
215.820   -58.1   -66.6   -68.3
217.480   -61.6   -61.4   -50.8
219.141   -27.6   -12.8   -35.1
220.801     6.9    13.1   -21.6
222.461    13.3    18.7    -4.6
224.121    -1.2   -17.7   -20.5
225.781   -20.6   -51.1   -37.9
227.441   -37.6    -9.8   -17.2
229.102   -15.0     3.1   -16.5
230.762     5.7    20.0     1.7
232.422    29.8    32.7    17.7
234.082    14.9    -5.1     0.0
235.742   -27.9   -44.9   -39.9
237.402   -31.9   -33.4   -30.4
239.062   -39.8    -8.2    -5.9
240.723   -11.3     5.2   -17.5
242.383    10.8     4.7   -24.5
244.043    12.0    -6.0    12.0
245.703    -2.2   -31.3    -8.8
247.363   -20.6   -43.5   -33.3
249.023   -39.5     9.3     2.0
250.684   -40.5    17.7     3.6
252.344    -3.3     2.6   -22.4
254.004    20.3   -12.5     7.9
255.664    10.6   -15.1    -1.7
257.324     3.9   -25.9   -12.9
258.984   -40.0    -1.4   -16.0
260.645   -41.3    13.7   -13.8
262.305    -4.1    -0.1   -12.6
263.965    23.2   -10.7     1.2
265.625    23.6   -19.6    -5.9
267.285     1.6   -16.7    -5.4
268.945   -32.8    -9.7    -9.8
270.605   -44.0    -5.9   -32.5
272.266   -12.1    -3.2    -2.6
273.926    21.0    -2.6     3.2
275.586    25.2   -15.3   -14.2
277.246    12.0   -22.1   -10.5
278.906   -30.1     4.4   -11.6
280.566   -37.1   -17.3   -36.1
282.227   -37.8   -17.3   -36.4
283.887     5.1     6.0    17.8
285.547    30.9   -18.3    -9.8
287.207    27.0   -26.1   -21.9
288.867   -14.5    -0.3    -0.1
290.527   -41.1   -13.3   -28.0
292.188   -32.7   -20.9   -32.0
293.848    12.1     6.3     9.0
295.508    27.5    -3.5     1.6
297.168    -6.8   -11.4    -7.6
298.828   -19.2    -4.5    -2.5
300.488   -28.2    -8.5   -18.7
302.148   -26.7   -17.7   -26.6
303.809    -3.6    -7.2    -7.0
305.469     8.0     1.3     0.0
307.129     6.7    -6.3     0.9
308.789   -10.7   -12.7   -10.8
310.449   -11.7   -11.8   -11.6
312.109   -25.8   -14.1   -25.8
313.770   -14.2    -6.3   -10.0
315.430    11.0    -7.8    -7.9
317.090    10.2    -2.2    -3.6
318.750     0.0    -0.8     0.7
320.410   -19.5   -18.8   -17.6
322.070   -14.9   -18.5   -26.0
323.730   -11.4     1.0     4.0
325.391     0.0    -3.1    -4.6
327.051     0.9   -16.7   -22.2
328.711    -2.3    -2.0     7.0
330.371    -8.3     3.3    -2.9
332.031   -11.4   -12.7   -25.9
333.691   -10.2    -2.5    -5.9
335.352    -9.4    -2.8    -9.8
337.012    -1.0   -19.8   -13.2
338.672    -1.4   -15.2    -2.1
340.332   -13.0    -2.4    -9.6
341.992    -4.3    -4.5   -12.0
343.652    -7.9    -7.3   -14.1
345.312   -13.3   -12.4   -11.6
346.973    -2.7    -7.4     1.1
348.633    -3.1   -12.6   -16.7
350.293    -7.9   -14.3   -23.1
351.953   -10.6     3.0     6.0
353.613   -11.3    -4.3   -13.8
355.273    -7.1   -25.9   -31.5
356.934    -4.3   -10.6     6.5
358.594    -6.1     0.9     6.2
360.254    -9.2   -22.8   -28.6
361.914   -12.6   -16.6   -17.8
363.574    -4.7    14.5     7.2
365.234     0.3   -18.7   -29.2
366.895    -8.4   -10.7     8.2
368.555    -7.3     3.3     3.2
370.215    -5.9    -9.1   -14.1
371.875    -8.1   -13.7   -15.4
373.535   -13.5     2.7    -4.0
375.195    -1.6   -20.0    -9.2
376.855     0.2   -16.5    -0.5
378.516    -3.7    -1.9    -9.8
380.176   -16.1   -11.4   -18.5
381.836   -21.5    -5.2    -0.5
383.496    -4.6   -11.1   -14.9
385.156    -4.3   -14.3   -16.0
386.816    -0.2     1.5     5.4
388.477    -2.2     0.8    -8.0
390.137   -24.3   -19.3   -18.7
391.797   -25.6    -6.7    -5.0
393.457    -5.2   -13.5    -9.6
395.117    -1.9   -13.0   -14.4
396.777     3.8    19.8    14.3
398.438     1.1     4.5     4.0
400.098   -21.0   -27.7   -31.8
401.758   -25.3   -15.8   -16.1
403.418   -20.6    -2.3     1.5
405.078    -2.4   -13.2   -14.6
406.738     9.4    -4.1    -5.9
408.398    -8.9    11.9     7.1
410.059   -16.6   -20.7   -34.4
411.719   -17.3   -22.6   -25.3
413.379   -17.9   -12.9     1.7
415.039    -1.8   -12.4   -16.9
416.699     6.3    -5.6    -6.5
418.359    -8.7    11.2     4.7
420.020   -10.1    -2.2   -15.6
421.680   -11.9   -21.2   -14.1
423.340   -17.9   -14.6    -3.7
425.000    -4.1   -12.2   -12.9
426.660     4.1    -5.4    -8.3
428.320     0.2     3.2    -8.2
429.980    -5.0    -2.2    -1.3
431.641    -7.0   -12.0    -4.3
433.301    -7.6   -23.4   -24.3
434.961   -13.0   -16.9    -3.4
436.621    -7.3     5.7    -1.6
438.281    -1.2     0.7   -16.2
439.941     8.6    -6.2   -16.9
441.602   -10.0     1.5     8.5
443.262    -8.1   -23.5   -23.6
444.922    -9.3   -32.5   -28.6
446.582   -20.8   -11.8    -2.2
448.242     5.0     1.2   -12.3
449.902     8.5    -0.8    -3.3
451.562     5.9     2.9     2.2
453.223     2.2     1.6     3.2
454.883   -19.1   -26.9   -20.8
456.543   -23.6   -26.2   -20.9
458.203     3.3     5.6     2.2
459.863     1.4     2.3    -3.6
461.523     9.3    -3.6    -9.8
463.184    -2.3   -16.6    -7.9
464.844   -17.9   -19.1   -12.9
466.504   -21.9   -10.8   -21.4
468.164   -16.4     1.0   -13.1
469.824    -1.3    16.8     5.5
471.484     7.7   -19.7    -8.4
473.145     1.3   -27.0    -9.7
474.805    -9.5   -19.9   -13.8
476.465   -19.8   -12.5   -12.1
478.125   -21.3    -4.3    -9.1
479.785    -4.6    12.8    -4.4
481.445     3.3    16.7    -4.5
483.105     7.6   -27.0    -6.5
484.766     1.6   -37.6   -19.8
486.426   -12.1   -31.7   -21.1
488.086   -23.9    14.3     1.7
489.746   -19.9    16.0    -2.9
491.406     2.7     0.0   -14.4
493.066     5.2   -10.0    16.6
494.727     0.8   -34.1   -17.7
496.387    -6.8   -31.7   -23.9
498.047   -18.1     9.6    -3.6
499.707   -24.1    31.7     7.6
501.367   -12.5    26.5    -4.0
503.027     3.9   -16.6    -5.1
504.688     4.1   -20.9     2.9
506.348    -0.6   -33.3   -15.3
508.008   -17.0   -11.3   -14.3
509.668   -22.1    31.4   -10.8
511.328     3.3     2.9     8.2
512.988     1.1   -10.7     3.3
514.648     1.2   -46.3   -18.0
516.309     0.5   -46.3   -19.9
517.969   -13.7    -2.2     6.3
519.629   -20.1    15.5     0.6
521.289   -12.6    14.9   -13.4
522.949    -7.0    14.0     8.8
524.609    11.4   -34.0    -8.9
526.270    15.4   -48.6   -21.3
527.930   -11.7    -6.7     4.6
529.590   -21.0    25.1     3.6
531.250   -28.1    19.7   -29.5
532.910   -13.9     4.1    -4.6
534.570     9.6     0.7    15.9
536.230    28.5   -30.0    -5.3
537.891   -18.5   -23.5    -6.4
539.551   -37.2    19.5   -13.2
541.211   -31.5    16.4   -25.1
542.871   -21.9     8.0   -14.9
544.531    20.6    -7.4     3.8
546.191    26.2   -37.2    -6.5
547.852     5.3   -35.3    -5.9
549.512   -26.7     2.3   -13.7
551.172   -42.3     9.2   -24.8
552.832   -29.8    14.4    -9.1
554.492    22.9    -6.8     6.2
556.152    33.3   -30.1    -2.7
557.812     3.6   -24.2    -1.3
559.473   -27.0    -5.3   -15.3
561.133   -45.1    -5.3   -29.3
562.793   -40.4     8.1   -17.0
564.453    24.1     4.0    10.4
566.113    34.6   -13.4     0.9
567.773    14.2   -27.0    -4.4
569.434   -21.8   -11.1    -0.3
571.094   -32.1    -8.0   -12.1
572.754   -37.2    -1.0   -27.3
574.414    -9.2    10.3    -1.2
576.074    28.2   -10.9     6.0
577.734    35.5   -21.6     1.1
579.395   -13.7    -8.6     0.8
581.055   -39.8    -5.2   -14.6
582.715   -52.7    -1.2   -35.8
584.375   -22.5     3.8     0.4
586.035     8.7    -2.0     6.4
587.695    36.2   -25.2    -3.2
589.355    13.6   -14.9     2.4
591.016    -3.7   -11.0    -2.0
592.676   -43.6     2.4   -17.7
594.336   -23.4    -3.5   -20.4
595.996    -1.2   -13.9   -13.2
597.656     7.5   -17.6    -8.6
599.316    33.6   -12.2    20.5
600.977    18.5    -4.8     0.5
602.637   -25.2    -3.9   -21.4
604.297   -50.0     7.7    -7.2
605.957   -39.8    -1.4   -24.4
607.617    23.2   -24.9    10.4
609.277    33.7   -13.4    26.1
610.938    31.8    -1.7    20.7
612.598    -7.3    -0.6   -18.3
614.258   -47.2    16.4    -4.7
615.918   -44.9    -9.5   -30.1
617.578     9.3   -45.3   -14.9
619.238    29.9   -12.8    24.8
620.898    15.2     9.7    -3.3
622.559    12.5     9.6    -6.2
624.219   -33.3    10.8   -11.9
625.879   -42.6    -5.3   -26.1
627.539   -22.0   -49.0   -23.4
629.199    18.2   -19.5     8.9
630.859    20.9    15.5     5.9
632.520    -6.0    24.2     2.6
634.180   -37.1     6.0   -19.3
635.840   -30.9   -41.7   -36.9
637.500   -17.6   -48.7   -17.6
639.160    -5.5   -38.1    -2.6
640.820    23.5    -0.3     2.0
642.480    -9.2    26.2    -0.6
644.141   -30.2    -1.4   -13.0
645.801   -22.3   -36.9   -26.1
647.461    -0.4   -38.3    -5.7
649.121    -1.5   -40.2    -8.2
650.781     9.2    11.5     7.7
652.441     7.1    16.3     4.5
654.102   -17.9    19.9   -14.4
655.762   -24.6    -4.5    -0.9
657.422   -14.9   -50.3   -25.5
659.082     9.1   -40.3   -15.6
660.742    11.2    12.5    26.9
662.402     2.2    31.5    19.0
664.062   -25.1    -1.9   -32.1
665.723   -19.0   -15.4     6.1
667.383     3.3   -32.2    -1.1
669.043    28.1   -33.6   -13.7
670.703    -8.1    20.3     9.1
672.363   -28.2    37.1     0.7
674.023   -25.0    -5.8   -26.1
675.684   -10.6   -32.2   -11.8
677.344    16.9   -33.6    -6.4
679.004    26.2   -23.8     4.4
680.664     6.0     7.1     4.7
682.324   -37.1    14.4   -23.8
683.984   -37.7     5.0   -12.7
685.645     2.8   -36.5   -11.7
687.305    31.6   -35.9     0.0
688.965    26.1     3.6    17.9
690.625    -9.4    24.4    -5.7
692.285   -38.0     5.7   -33.7
693.945   -41.2    -3.6    -5.5
695.605   -19.9   -12.3     0.4
697.266    34.4   -40.2    -7.2
698.926    34.6   -19.8     8.2
700.586   -32.5    16.6   -25.3
702.246   -30.2    16.7   -24.4
703.906   -48.7    -7.4   -32.5
705.566   -35.5   -23.4   -10.4
707.227    34.8   -26.0     0.2
708.887    34.6   -13.9    -4.2
710.547   -15.9    19.2    -5.6
712.207   -31.7     9.4   -16.0
713.867   -42.9   -10.5   -27.8
715.527   -31.4   -21.6   -19.6
717.188     0.3   -27.4     1.3
718.848    32.2   -10.2     5.7
720.508    15.7     1.3    -2.4
722.168   -29.8     7.0   -16.3
723.828   -44.6    -2.5   -19.9
725.488   -22.4   -16.1   -12.9
727.148    12.1   -25.6     0.4
728.809    16.5   -14.6    -0.9
730.469     3.6    -1.6    -7.2
732.129   -10.4    11.6    -4.5
733.789   -27.7   -14.9   -17.3
735.449   -20.8   -14.3   -10.7
737.109     7.5   -22.6    -3.5
738.770    13.4   -21.6    -8.0
740.430   -16.1     2.2    -1.7
742.090   -15.5     4.8    -4.8
743.750   -13.0     6.0   -19.4
745.410    -6.2    -6.2     3.4
