# DRS4 export. File index 0, run_id=./medidas/run_20260925_130253
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #6  ts=2026-09-25 13:02:54.976  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000    -0.6   -24.1   -10.3
  1.660     5.6   -21.6   -14.9
  3.320     0.0   -13.3     5.5
  4.980    -0.9   -12.9     6.1
  6.641   -10.1   -12.8   -11.5
  8.301   -16.0    10.6    -4.2
  9.961   -13.9    13.8    -1.3
 11.621   -13.0     7.0    -8.6
 13.281     5.8   -24.1    -8.1
 14.941     4.2   -21.2   -11.3
 16.602    -6.6    -4.0    -8.1
 18.262   -17.4    10.1   -11.4
 19.922   -20.6    13.3    -7.0
 21.582    -6.3   -10.0    -0.9
 23.242    10.9    -8.1     3.8
 24.902    19.8   -23.7    -3.8
 26.562    -0.3    -5.6    -4.8
 28.223   -26.1    10.6    -8.0
 29.883   -28.1   -27.2   -35.7
 31.543   -16.1   -23.3   -18.3
 33.203    15.8     0.2    16.3
 34.863    25.9    -3.5    -0.7
 36.523    14.5    -1.9    -5.6
 38.184   -18.1    -1.0     0.0
 39.844   -47.1   -16.7   -23.3
 41.504   -14.2   -29.8   -18.1
 43.164     7.4    -1.4    15.2
 44.824    22.8     3.9     0.5
 46.484    10.5    -7.9    -4.9
 48.145   -44.6   -16.6   -24.0
 49.805   -51.6   -17.0   -38.4
 51.465   -14.7   -18.4   -14.5
 53.125    11.9    -0.4     7.3
 54.785    27.1    -5.8     4.1
 56.445    18.2     0.6    10.7
 58.105   -28.9    -8.8   -24.6
 59.766   -42.8   -28.9   -42.1
 61.426   -17.7    -5.6     3.8
 63.086     7.9     4.4    10.4
 64.746    13.8    -9.5     2.7
 66.406     8.7    -2.8    10.2
 68.066   -16.7    -7.3   -11.3
 69.727   -39.8   -29.5   -29.8
 71.387   -23.2     6.6     8.7
 73.047    19.7     1.6   -12.2
 74.707    16.6    -5.1    -0.1
 76.367    -1.3     5.4    14.6
 78.027   -16.2    -6.1   -15.1
 79.688   -23.2   -23.0   -39.7
 81.348   -11.3    11.5    14.1
 83.008    -1.9     2.0    -5.7
 84.668     6.3   -20.2   -12.9
 86.328     0.6     3.4    15.4
 87.988    -7.1   -12.8   -12.1
 89.648   -23.2   -17.0   -23.5
 91.309   -19.0    -0.9     2.1
 92.969    -8.7    -1.6    -6.7
 94.629     1.1   -17.9   -16.1
 96.289     9.3     9.9    12.7
 97.949     2.1     1.1    -9.4
 99.609   -11.6   -14.2   -24.4
101.270   -14.3    -8.9    -4.4
102.930    -7.5   -21.2   -23.9
104.590    -4.6   -12.2   -10.7
106.250     0.8     6.0    13.8
107.910    11.3     0.4    -9.0
109.570     5.3    -9.5   -19.4
111.230   -27.1   -10.6    -0.5
112.891   -16.5   -28.9   -24.0
114.551    -6.7    -8.5   -13.8
116.211    -7.0     7.4    12.0
117.871     6.7    -2.3   -12.2
119.531     1.8     2.6    -1.8
121.191   -17.0    -4.5    -2.1
122.852   -11.9   -23.8   -16.2
