# DRS4 export. File index 0, run_id=./medidas/run_20260925_132914
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #0  ts=2026-09-25 13:29:14.658  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
114.551   -32.9    -0.9   -16.8
122.852   -35.8   -15.2   -27.8
124.512   -36.0   -10.8   -25.8
132.812   -34.2   -17.3   -19.2
144.434   -30.6    -7.6   -14.7
154.395   -35.5    -1.0   -10.5
194.238   -33.8   -21.3   -27.4
195.898   -50.9   -17.0   -27.5
197.559   -60.6    -5.7   -11.0
199.219   -75.9   -32.4     2.6
200.879   -93.1  -124.1     3.0
202.539   -98.6  -141.0     2.3
204.199  -126.9  -162.5   -18.3
205.859  -111.8  -137.8   -30.6
207.520   -65.3   -86.1    -6.1
209.180   -42.1   -84.2    -4.1
215.820   -52.6   -37.4   -18.4
217.480   -52.1   -45.4   -25.8
225.781   -42.3   -21.2   -10.0
227.441   -49.5   -16.3    -8.5
237.402   -50.2   -18.1   -10.9
247.363   -34.2   -22.9   -26.4
292.188   -31.0    -6.4   -11.9
302.148   -39.3   -16.6   -29.9
303.809   -31.9    -6.5    -3.3
312.109   -35.3   -16.4   -31.7
313.770   -32.5   -13.7   -18.2
322.070   -39.4     0.0   -31.0
332.031   -31.2     7.3   -14.7
591.016   -45.8    28.4    -6.7
592.676   -38.3    -2.8   -18.3
600.977   -48.7     9.0   -21.4
602.637   -38.3   -14.6   -13.5
612.598   -51.2   -25.3   -31.9
620.898   -60.8     6.5   -22.4
622.559   -53.1   -29.0   -30.3
629.199   -34.8    11.6   -21.0
630.859   -50.6    -8.5   -10.0
632.520   -38.5   -36.9   -29.5
640.820   -38.2     1.2   -11.1
650.781   -36.2    -3.2   -15.7
687.305   -43.2   -21.3   -14.3
695.605   -34.4   -40.9   -29.9
697.266   -50.9   -20.4   -22.1
705.566   -43.4   -32.0   -31.0
707.227   -48.1   -36.2   -39.1
717.188   -34.3   -30.1   -33.6
718.848   -35.1   -31.4   -36.7
820.117   -33.5   -13.3   -29.1
821.777   -33.4   -13.9   -11.7
830.078   -31.7   -11.5   -27.6
831.738   -37.3   -17.1   -22.5
833.398   -41.1    -3.6   -10.6
841.699   -48.2    -9.2   -12.8
843.359   -40.8    -6.8    -9.0
851.660   -42.1   -19.9   -30.8
