# DRS4 export. File index 0, run_id=./medidas/run_20260925_105124
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #2  ts=2026-09-25 10:51:28.194  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
275.586   -10.0    -3.2    -1.1
277.246   -27.9   -38.6   -26.0
278.906   -25.3   -36.4   -19.8
280.566   -32.9    -6.5    -1.1
282.227    -0.5   -10.3   -23.7
283.887    19.6    -2.2    13.3
285.547    24.1    10.4    24.4
287.207     3.0   -10.5   -20.8
288.867   -30.0   -30.6   -16.2
290.527   -29.4    -4.6     0.5
292.188   -21.3    -4.4   -26.6
293.848     0.4    -4.6    -8.2
295.508    21.7     8.5    20.5
297.168    20.4     0.1     0.1
298.828   -18.7   -33.4   -21.0
300.488   -32.7   -20.6    -7.4
302.148   -27.9    -4.3   -21.4
303.809   -12.0   -10.0   -19.9
305.469     6.2     4.0    14.9
307.129    23.3     5.2    17.3
308.789     7.0   -27.0   -23.8
310.449   -10.6   -23.0   -11.2
312.109   -35.5    -3.4    -5.8
313.770   -33.0   -14.1   -37.9
315.430   -10.4    -6.4    -5.2
317.090    14.6     1.5    16.6
318.750    22.7   -17.9   -17.8
320.410     8.4   -11.9    -8.0
322.070   -10.0    -6.2    -1.8
323.730   -38.9     1.3    -9.2
325.391   -29.6   -23.0   -32.2
327.051    -7.6   -10.7     0.4
328.711    10.0    -3.0     8.5
330.371    20.7   -12.5   -11.7
332.031     3.9     0.8    -1.0
333.691   -22.6     8.8     0.9
335.352   -40.7   -24.0   -33.9
337.012   -27.8   -27.5   -22.7
338.672   -12.0   -20.7    -5.0
340.332    10.2    -6.8     4.0
341.992    10.0    11.6     6.1
343.652    -5.2    15.1    -0.6
345.312   -34.6     2.3   -17.4
346.973   -39.6   -37.1   -21.7
348.633     5.5   -19.4    -3.4
350.293    13.5   -15.2    -4.3
351.953    33.0    10.8     4.6
353.613    -4.8    20.0     4.7
355.273   -25.0     0.8   -17.9
356.934   -39.2   -35.1   -26.0
358.594   -38.1   -34.5   -15.4
360.254    -5.4   -26.0   -14.7
361.914    26.8    21.4    17.9
363.574    15.9    35.7    26.7
365.234   -13.3    14.4   -10.2
366.895   -25.9   -16.0   -31.6
368.555   -26.2   -33.4    -2.5
370.215   -24.9   -29.6    -1.3
371.875     9.2   -14.7   -15.4
373.535    19.3    24.8    17.4
375.195     8.4    41.8    21.8
376.855   -16.7   -19.0   -28.7
378.516   -24.0   -44.1   -14.7
380.176   -24.9   -36.3   -11.6
381.836    -3.7   -21.7   -15.8
383.496    10.7    16.7    12.0
385.156     3.2    36.5    12.9
386.816    -9.0    13.9   -14.4
388.477   -14.9   -38.8   -12.2
390.137   -10.5   -40.5    -8.9
391.797     4.7     0.7    -4.5
393.457    -4.5    34.1     8.7
395.117   -14.9    35.2     1.1
396.777   -19.7    -6.0   -19.4
398.438    -3.8   -33.6    -6.5
400.098     2.3   -37.5    -2.5
401.758     3.1   -12.2   -10.3
403.418   -12.0    23.5     4.0
405.078   -16.0    28.8     6.3
406.738   -29.2    -3.5   -25.2
408.398   -13.9   -31.5   -16.9
410.059     4.9   -33.5    -8.0
411.719    16.2   -18.6     0.0
413.379    -4.4    14.1    -6.6
415.039   -21.5    26.3    -8.4
416.699   -42.5     2.0   -17.4
418.359   -30.5   -29.2   -28.2
420.020    25.1   -23.2    12.9
421.680    25.4     0.7     4.4
423.340    21.8     1.3    -0.7
425.000     3.3     9.4   -15.0
426.660   -51.5     8.7   -13.2
428.320   -51.8    -1.1   -20.6
429.980    -5.9   -40.2   -21.1
431.641    21.6   -32.5     7.8
433.301    24.5    -8.5    13.4
434.961    -7.7    13.7    -6.0
436.621   -38.7    12.0    -5.9
438.281   -49.6   -11.7   -31.7
439.941   -23.7   -36.0   -34.3
441.602     2.8   -36.3    -3.0
443.262    27.7     0.4    -4.2
444.922    29.8     0.8    -8.5
446.582    -7.2    14.6     8.2
448.242   -44.8     3.4   -26.0
449.902   -42.2   -31.7   -48.5
451.562    -3.1   -25.7    11.9
453.223    18.2    -2.7    14.4
454.883    29.7    -6.2   -13.4
456.543    12.2    -4.5    -5.2
458.203   -23.2    21.6    10.0
459.863   -33.2   -29.0   -43.0
461.523   -28.3   -42.5   -39.1
463.184    -4.2   -19.3    11.0
464.844    21.3    -0.6   -10.0
466.504     3.8    -7.2   -12.8
468.164    -4.1    -2.4    -4.8
469.824   -22.1     8.0    -9.9
471.484   -19.9   -25.2   -29.3
473.145    -0.8    -5.7    -1.4
474.805     3.9    -4.0    -6.3
476.465     1.2    -8.5    -4.6
478.125    -5.4    -0.9    -0.9
479.785   -14.6     0.2    -3.7
481.445   -10.9   -15.8   -24.8
483.105   -10.4    -6.3    -1.0
484.766    -7.6    -2.3     2.2
486.426    -8.1   -23.6   -22.0
488.086    -6.2   -17.7   -18.7
489.746   -10.1    -2.2    11.2
491.406    -4.5    -5.2   -21.6
493.066    -4.9    -8.6   -20.5
494.727   -13.2    -3.8    10.2
496.387   -18.2   -23.7   -24.2
498.047   -10.8   -11.3    -8.5
499.707   -11.1    -2.0    11.7
501.367     6.5     5.8    -1.8
503.027    11.9    -6.0   -15.3
504.688   -12.8    -2.3    -9.0
506.348   -25.2   -13.9   -14.9
508.008   -24.1   -32.1   -20.5
509.668    -8.8   -16.6    -2.8
511.328     7.5     7.5    -0.4
512.988    16.1     8.4   -10.2
514.648    -2.2    -0.4    -2.2
516.309   -11.7    -3.0    -5.5
517.969   -20.8   -23.6   -12.4
519.629   -12.4   -11.1    -2.6
521.289    -1.6    -5.0   -10.6
522.949    11.8     6.3    -7.8
524.609     2.6    12.8    10.3
526.270   -13.8   -12.2   -22.9
527.930   -14.8   -39.2   -32.1
529.590   -14.7    -3.1    11.6
531.250    -5.7    -1.2   -23.0
532.910    -2.8    -4.4   -21.8
