voltage,x,y,r
-2.5,2.01618e-12,-3.67708e-13,2.0494367435136906e-12
-2.413793103448276,1.89716e-12,-6.8923e-13,2.018478154080445e-12
-2.3275862068965516,1.90382e-12,-2.93989e-13,1.926385248209973e-12
-2.2413793103448274,1.66623e-12,-3.33513e-13,1.6992802400042791e-12
-2.155172413793103,2.03128e-12,-5.13371e-13,2.0951487350641717e-12
-2.0689655172413794,1.66445e-12,-1.58985e-13,1.672025727291599e-12
-1.9827586206896552,1.64136e-12,-2.83775e-13,1.6657103290263287e-12
-1.896551724137931,1.56942e-12,7.7272e-14,1.5713211315272253e-12
-1.8103448275862069,1.61605e-12,-1.90959e-14,1.6161628184984364e-12
-1.7241379310344827,1.60184e-12,-1.77192e-13,1.6116104958903687e-12
-1.6379310344827585,1.42553e-12,1.94068e-13,1.438679314344931e-12
-1.5517241379310345,1.65602e-12,1.4655e-13,1.6624918474687328e-12
-1.4655172413793103,1.32561e-12,3.3751e-13,1.3679016310393082e-12
-1.379310344827586,1.16308e-12,4.85837e-13,1.2604731956566945e-12
-1.293103448275862,1.34871e-12,3.56605e-13,1.3950576296787886e-12
-1.206896551724138,9.91214e-13,3.68152e-13,1.057374620888926e-12
-1.1206896551724137,8.90402e-13,2.5069e-13,9.250195661195497e-13
-1.0344827586206895,4.78288e-13,1.91625e-13,5.152470781760921e-13
-0.9482758620689653,3.35289e-13,7.55843e-13,8.268720301050217e-13
-0.8620689655172413,1.30563e-13,6.82569e-13,6.949439810013466e-13
-0.7758620689655171,-6.33719e-13,1.21326e-12,1.3687949439419333e-12
-0.6896551724137929,-1.14354e-12,-3.94353e-13,1.2096272236557012e-12
-0.603448275862069,-3.20989e-12,8.87738e-13,3.330386249182518e-12
-0.5172413793103448,-7.27332e-12,1.97932e-12,7.537830688255076e-12
-0.43103448275862055,-1.2749e-11,-3.3218e-13,1.2753326803324693e-11
-0.34482758620689635,-2.1844e-11,2.92923e-12,2.203952641035873e-11
-0.25862068965517215,-3.15696e-11,1.88295e-12,3.162570386351109e-11
-0.17241379310344795,-5.36604e-11,5.09284e-12,5.3901535668528034e-11
-0.0862068965517242,-7.24616e-11,7.3293e-12,7.283132645400604e-11
0.0,-8.75251e-11,9.92278e-12,8.808578031066308e-11
