voltage,x,y,r
-2.5,3.97196e-12,3.78366e-13,3.989940735343822e-12
-2.413793103448276,3.71972e-12,3.92577e-13,3.740378801582669e-12
-2.3275862068965516,3.66998e-12,4.55639e-13,3.698156310747424e-12
-2.2413793103448274,3.34312e-12,8.74859e-13,3.4556952418118413e-12
-2.155172413793103,3.32979e-12,5.23141e-13,3.3706346509197643e-12
-2.0689655172413794,3.07666e-12,5.84425e-13,3.1316751645445286e-12
-1.9827586206896552,2.76491e-12,3.8103e-13,2.791041233840876e-12
-1.896551724137931,2.52155e-12,8.18904e-13,2.6511918383466706e-12
-1.8103448275862069,2.63435e-12,8.13575e-13,2.757118822815767e-12
-1.7241379310344827,2.28441e-12,8.38444e-13,2.4334168137078365e-12
-1.6379310344827585,2.33948e-12,2.33593e-13,2.3511130045255162e-12
-1.5517241379310345,1.99753e-12,1.05161e-12,2.2574343164309344e-12
-1.4655172413793103,1.62049e-12,8.39333e-14,1.6226622072843412e-12
-1.379310344827586,1.78347e-12,6.43933e-13,1.8961579442095535e-12
-1.293103448275862,1.25278e-12,8.57984e-13,1.5184183457321636e-12
-1.206896551724138,4.64077e-13,2.19825e-13,5.135080257931711e-13
-1.1206896551724137,-1.67422e-13,-5.36463e-13,5.61981028552566e-13
-1.0344827586206895,-1.97177e-12,-1.95844e-13,1.9814721308249583e-12
-0.9482758620689653,-4.63277e-12,1.22925e-12,4.793079744318886e-12
-0.8620689655172413,-7.41501e-12,1.53211e-12,7.57164013620563e-12
-0.7758620689655171,-1.32055e-11,2.31283e-12,1.3406506362915732e-11
-0.6896551724137929,-1.67973e-11,7.19428e-13,1.6812699483937253e-11
-0.603448275862069,-3.06903e-11,1.41932e-12,3.072310178599159e-11
-0.5172413793103448,-4.9406e-11,4.83349e-12,4.964187205958393e-11
-0.43103448275862055,-6.82445e-11,5.33976e-12,6.845308478883622e-11
-0.34482758620689635,-9.47016e-11,7.25822e-12,9.497933880654466e-11
-0.25862068965517215,-1.20381e-10,1.14824e-11,1.2092737767255188e-10
-0.17241379310344795,-1.54494e-10,1.35998e-11,1.5509142657168384e-10
-0.0862068965517242,-1.67582e-10,1.48789e-11,1.6824122083844375e-10
0.0,-2.06378e-10,2.05774e-11,2.07401321776791e-10
