voltage,x,y,r
-2.5,5.92595e-12,1.77637e-13,5.928611836363467e-12
-2.413793103448276,5.35574e-12,6.76795e-13,5.398333300160801e-12
-2.3275862068965516,4.62921e-12,-5.34687e-13,4.659986632177071e-12
-2.2413793103448274,4.35299e-12,3.11752e-13,4.364139233526355e-12
-2.155172413793103,4.74912e-12,6.95447e-13,4.799769505320959e-12
-2.0689655172413794,4.76688e-12,4.44979e-13,4.7876039147825295e-12
-1.9827586206896552,4.00127e-12,-6.68802e-13,4.056779230880577e-12
-1.896551724137931,2.54642e-12,9.85882e-14,2.5483277751457403e-12
-1.8103448275862069,3.94176e-12,7.23869e-13,4.007674915304509e-12
-1.7241379310344827,4.08121e-12,-1.31273e-12,4.287136004024132e-12
-1.6379310344827585,3.18058e-12,3.55273e-13,3.2003606110763517e-12
-1.5517241379310345,3.52608e-12,8.84629e-13,3.635355365578584e-12
-1.4655172413793103,3.61668e-12,4.61856e-13,3.646050628712662e-12
-1.379310344827586,2.82087e-12,-1.52146e-12,3.205019202516578e-12
-1.293103448275862,1.51879e-12,6.31498e-13,1.6448443051255642e-12
-1.206896551724138,6.9145e-13,8.88184e-15,6.915070423226257e-13
-1.1206896551724137,-8.28231e-14,-1.37757e-12,1.380057524450923e-12
-1.0344827586206895,-1.62915e-12,7.64059e-13,1.7994209840893265e-12
-0.9482758620689653,-5.46099e-12,-5.22696e-13,5.485947765748048e-12
-0.8620689655172413,-9.82775e-12,4.79619e-14,9.82786703239068e-12
-0.7758620689655171,-1.81296e-11,2.05615e-12,1.824582552208861e-11
-0.6896551724137929,-2.95588e-11,1.2328e-12,2.958449684006811e-11
-0.603448275862069,-4.337e-11,4.16558e-12,4.356958752084302e-11
-0.5172413793103448,-5.46108e-11,2.96475e-12,5.469121702067435e-11
-0.43103448275862055,-9.42006e-11,7.98656e-12,9.453855393961557e-11
-0.34482758620689635,-1.39402e-10,1.26619e-11,1.399758597602101e-10
-0.25862068965517215,-1.84834e-10,1.46018e-11,1.854098706089835e-10
-0.17241379310344795,-2.23708e-10,2.06059e-11,2.2465500746435634e-10
-0.0862068965517242,-2.80183e-10,2.67165e-11,2.8145387696965553e-10
0.0,-3.50981e-10,3.20883e-11,3.5244477774240043e-10
