voltage,x,y,r
-2.5,3.37509e-12,-6.32387e-13,3.433823790742472e-12
-2.413793103448276,2.65211e-12,-6.44821e-13,2.7293738428696424e-12
-2.3275862068965516,2.96564e-12,-5.10706e-13,3.009292479643014e-12
-2.2413793103448274,2.86084e-12,-6.99888e-13,2.9452077546658743e-12
-2.155172413793103,3.16015e-12,-6.32387e-13,3.222803335648795e-12
-2.0689655172413794,2.91502e-12,-6.65249e-13,2.9899661925180692e-12
-1.9827586206896552,2.79778e-12,-6.44821e-13,2.8711264427818217e-12
-1.896551724137931,2.89992e-12,-4.28104e-13,2.931349355026794e-12
-1.8103448275862069,2.68231e-12,2.66455e-15,2.6823113234534696e-12
-1.7241379310344827,2.42918e-12,-3.33957e-13,2.452028293117557e-12
-1.6379310344827585,2.47626e-12,-1.5632e-13,2.481189136281231e-12
-1.5517241379310345,2.1574e-12,-1.28787e-13,2.161240581557037e-12
-1.4655172413793103,2.24888e-12,9.05946e-14,2.250704031175392e-12
-1.379310344827586,1.94246e-12,-3.67708e-13,1.976957264298852e-12
-1.293103448275862,1.79857e-12,4.0057e-13,1.842636798123819e-12
-1.206896551724138,1.67289e-12,-2.17605e-13,1.6869833692496794e-12
-1.1206896551724137,1.13421e-12,3.2774e-13,1.1806124815958877e-12
-1.0344827586206895,1.10757e-12,7.17652e-13,1.3197483464676134e-12
-0.9482758620689653,2.97542e-13,5.39128e-13,6.157842496751602e-13
-0.8620689655172413,2.30928e-13,9.45917e-13,9.736974438053126e-13
-0.7758620689655171,-5.23585e-13,-1.96378e-12,2.03238115043045e-12
-0.6896551724137929,-3.1193e-12,-1.22569e-13,3.1217071691241314e-12
-0.603448275862069,-5.46366e-12,7.94479e-13,5.5211210344495255e-12
-0.5172413793103448,-1.03598e-11,-1.83455e-12,1.0520980455380573e-11
-0.43103448275862055,-2.37109e-11,1.45662e-12,2.3755599774251125e-11
-0.34482758620689635,-3.81741e-11,2.03217e-12,3.822815226660713e-11
-0.25862068965517215,-6.22831e-11,2.20625e-12,6.232216367130155e-11
-0.17241379310344795,-9.49396e-11,6.73242e-12,9.517800758166983e-11
-0.0862068965517242,-1.37157e-10,1.29817e-11,1.3776997925487976e-10
0.0,-2.08659e-10,1.97745e-11,2.095939148239996e-10
