voltage,x,y,r
-2.5,2.83153e-12,-3.42839e-13,2.85220979607409e-12
-2.413793103448276,2.49402e-12,-2.43363e-13,2.5058653814937865e-12
-2.3275862068965516,2.4425e-12,-1.90071e-13,2.4498843309513615e-12
-2.2413793103448274,2.81376e-12,-3.09976e-13,2.830782658237117e-12
-2.155172413793103,2.13342e-12,5.7732e-14,2.1342009933987006e-12
-2.0689655172413794,2.20447e-12,5.86202e-14,2.205249262271284e-12
-1.9827586206896552,1.94735e-12,1.56764e-13,1.953649654926901e-12
-1.896551724137931,1.73284e-12,7.7272e-14,1.7345620275977447e-12
-1.8103448275862069,1.12422e-12,8.12688e-14,1.1271535947924046e-12
-1.7241379310344827,1.90982e-12,4.47866e-13,1.9616310525570295e-12
-1.6379310344827585,1.7717e-12,5.38462e-13,1.851718719310252e-12
-1.5517241379310345,1.54877e-12,4.10785e-14,1.549314673028772e-12
-1.4655172413793103,1.11556e-12,4.55195e-13,1.2048554276862432e-12
-1.379310344827586,1.15486e-12,8.63757e-13,1.4421434653490616e-12
-1.293103448275862,1.29497e-12,4.26771e-13,1.3634811283406164e-12
-1.206896551724138,6.00412e-13,-1.98065e-13,6.322375455230415e-13
-1.1206896551724137,-1.89627e-13,1.18617e-12,1.2012317295297357e-12
-1.0344827586206895,-1.09513e-12,4.25883e-13,1.1750259769847643e-12
-0.9482758620689653,-3.36266e-12,1.3134e-12,3.610055655471256e-12
-0.8620689655172413,-4.97005e-12,4.86281e-13,4.993782755933722e-12
-0.7758620689655171,-8.95289e-12,1.99753e-12,9.173023790059633e-12
-0.6896551724137929,-1.44667e-11,4.9916e-13,1.4475308963735453e-11
-0.603448275862069,-2.1844e-11,1.57208e-13,2.184456569390346e-11
-0.5172413793103448,-3.16993e-11,1.61649e-12,3.1740489290653667e-11
-0.43103448275862055,-4.31231e-11,4.35033e-12,4.334197878176422e-11
-0.34482758620689635,-5.78277e-11,5.47121e-12,5.8085945168810847e-11
-0.25862068965517215,-7.38933e-11,4.63632e-12,7.403860647008694e-11
-0.17241379310344795,-9.45346e-11,8.59407e-12,9.492443645513467e-11
-0.0862068965517242,-1.17198e-10,1.11769e-11,1.1772975111504315e-10
0.0,-1.36958e-10,1.21432e-11,1.3749527653792328e-10
