voltage,x,y,r
-2.5,1.0978e-12,-4.05011e-13,1.1701276640268787e-12
-2.413793103448276,1.12799e-12,-5.61332e-13,1.259942480561712e-12
-2.3275862068965516,9.54799e-13,-4.04567e-13,1.0369742464931325e-12
-2.2413793103448274,1.14265e-12,-4.3743e-13,1.2235170727864814e-12
-2.155172413793103,8.1846e-13,-2.04282e-13,8.435685550825138e-13
-2.0689655172413794,1.17751e-12,-3.86803e-13,1.2394137166051538e-12
-1.9827586206896552,9.17273e-13,-5.00936e-13,1.045144311865591e-12
-1.896551724137931,9.46361e-13,-3.3529e-14,9.469547698607364e-13
-1.8103448275862069,8.94177e-13,-5.06709e-13,1.027767735439287e-12
-1.7241379310344827,8.9773e-13,2.15384e-14,8.979883382174625e-13
-1.6379310344827585,9.03725e-13,-7.41633e-14,9.06762962792311e-13
-1.5517241379310345,8.12243e-13,7.32753e-15,8.122760514411962e-13
-1.4655172413793103,7.73385e-13,1.08691e-13,7.809853338610144e-13
-1.379310344827586,7.79713e-13,-1.03362e-13,7.865342112158885e-13
-1.293103448275862,8.68531e-13,1.33227e-14,8.686331747615272e-13
-1.206896551724138,6.18287e-13,1.65979e-13,6.401779774484592e-13
-1.1206896551724137,7.35304e-13,4.31212e-13,8.524175979882161e-13
-1.0344827586206895,5.27026e-13,4.0057e-13,6.619763814336581e-13
-0.9482758620689653,6.14734e-13,4.44202e-13,7.584281822031668e-13
-0.8620689655172413,2.52577e-13,4.67629e-13,5.314809710328301e-13
-0.7758620689655171,1.21015e-14,7.74495e-13,7.745895373210575e-13
-0.6896551724137929,-4.67185e-13,3.57938e-13,5.885417878698164e-13
-0.603448275862069,-1.37568e-12,7.15875e-13,1.5507973684608187e-12
-0.5172413793103448,-2.96253e-12,7.64281e-13,3.0595276511025355e-12
-0.43103448275862055,-6.08938e-12,2.02817e-12,6.418256954446433e-12
-0.34482758620689635,-1.07617e-11,2.07391e-13,1.0763698152441891e-11
-0.25862068965517215,-1.69732e-11,2.98962e-12,1.723448130882969e-11
-0.17241379310344795,-2.34409e-11,1.9469e-12,2.352161160337446e-11
-0.0862068965517242,-3.27687e-11,4.25973e-12,3.304440950240903e-11
0.0,-4.39704e-11,6.1551e-12,4.439911409217531e-11
