voltage,x,y,r
-2.5,1.80479e-12,-2.29152e-13,1.8192794131754475e-12
-2.413793103448276,1.74128e-12,1.85186e-13,1.751099623949477e-12
-2.3275862068965516,1.92647e-12,4.70737e-14,1.9270450420609502e-12
-2.2413793103448274,1.82744e-12,4.12117e-13,1.8733332259075002e-12
-2.155172413793103,1.66001e-12,3.29072e-13,1.692312495162758e-12
-2.0689655172413794,1.72352e-12,3.76589e-13,1.7641826621189201e-12
-1.9827586206896552,1.3416e-12,4.71182e-13,1.4219363688730942e-12
-1.896551724137931,1.53211e-12,6.25281e-13,1.654792247099617e-12
-1.8103448275862069,8.67754e-13,8.39333e-14,8.718037642525352e-13
-1.7241379310344827,1.18972e-12,6.15067e-13,1.3393061983314344e-12
-1.6379310344827585,1.0565e-12,8.14907e-13,1.3342659662334943e-12
-1.5517241379310345,8.14907e-13,5.07597e-13,9.600667336482396e-13
-1.4655172413793103,6.81236e-13,7.59396e-13,1.0201787943845922e-12
-1.379310344827586,6.28834e-13,9.47249e-13,1.1369753152804153e-12
-1.293103448275862,4.11672e-13,7.86485e-13,8.877119413464031e-13
-1.206896551724138,1.72307e-13,1.35048e-12,1.36142790211197e-12
-1.1206896551724137,-2.55353e-13,1.46683e-12,1.4888906620396945e-12
-1.0344827586206895,-9.45917e-13,1.4544e-12,1.7349462040331394e-12
-0.9482758620689653,-1.91892e-12,1.68222e-12,2.551885204079525e-12
-0.8620689655172413,-2.81376e-12,8.84629e-13,2.9495446776139875e-12
-0.7758620689655171,-4.30947e-12,9.67677e-13,4.416778289344961e-12
-0.6896551724137929,-4.34144e-12,1.49659e-12,4.592154494537395e-12
-0.603448275862069,-1.0922e-11,2.80488e-12,1.1276410590892831e-11
-0.5172413793103448,-2.03056e-11,1.62182e-12,2.0370264884689153e-11
-0.43103448275862055,-2.7285e-11,2.5029e-12,2.7399557175436248e-11
-0.34482758620689635,-3.69058e-11,4.02881e-12,3.712505062159646e-11
-0.25862068965517215,-5.0264e-11,5.93128e-12,5.0612743241582945e-11
-0.17241379310344795,-6.01976e-11,5.1941e-12,6.042126877656575e-11
-0.0862068965517242,-7.65792e-11,8.72197e-12,7.707429294726549e-11
0.0,-9.39058e-11,1.04735e-11,9.448805996468548e-11
