voltage,x,y,r
-1.0,4.47645e-12,4.83173e-13,4.502450527260572e-12
-0.9655172413793104,4.14516e-12,7.23869e-13,4.207889940903992e-12
-0.9310344827586207,3.86005e-12,8.02917e-13,3.942671900043041e-12
-0.896551724137931,3.66376e-12,8.5976e-13,3.763286408871905e-12
-0.8620689655172413,3.60957e-12,9.27265e-13,3.726770178737213e-12
-0.8275862068965517,3.50033e-12,7.73607e-13,3.5847981671705033e-12
-0.7931034482758621,3.29693e-12,7.66501e-13,3.384859111972166e-12
-0.7586206896551724,2.91413e-12,9.81444e-13,3.074961135044799e-12
-0.7241379310344828,2.42563e-12,1.03473e-12,2.637109605192776e-12
-0.6896551724137931,2.16184e-12,1.15464e-12,2.450866319324659e-12
-0.6551724137931034,1.79946e-12,4.31656e-13,1.8505089013393045e-12
-0.6206896551724138,7.22981e-13,-3.69928e-13,8.121257609169899e-13
-0.5862068965517242,-6.70578e-13,3.61268e-13,7.617016620094774e-13
-0.5517241379310345,-1.7606e-12,1.07959e-12,2.065242583354314e-12
-0.5172413793103449,-2.80599e-12,1.49237e-12,3.1781674117327424e-12
-0.48275862068965514,-4.37142e-12,3.37287e-13,4.384412769889373e-12
-0.4482758620689655,-7.96124e-12,2.1272e-13,7.964081374270356e-12
-0.4137931034482759,-1.1073e-11,2.05259e-12,1.1261636413421453e-11
-0.3793103448275862,-1.46035e-11,2.57928e-12,1.4829527894319496e-11
-0.3448275862068966,-1.90968e-11,2.73294e-12,1.9291364163365952e-11
-0.31034482758620685,-2.47288e-11,2.06769e-12,2.4815094023116253e-11
-0.27586206896551724,-3.2369e-11,2.14052e-12,3.243969770004646e-11
-0.24137931034482762,-4.03146e-11,4.78909e-12,4.0598058527324924e-11
-0.2068965517241379,-4.83829e-11,4.28638e-12,4.8572400248643263e-11
-0.1724137931034483,-6.05174e-11,5.28647e-12,6.074785977975603e-11
-0.13793103448275867,-7.20672e-11,7.6526e-12,7.247236440602722e-11
-0.10344827586206895,-8.39262e-11,8.73618e-12,8.437966512989016e-11
-0.06896551724137934,-9.88369e-11,8.94224e-12,9.92405988385177e-11
-0.034482758620689724,-1.16096e-10,1.12906e-11,1.1664372621088542e-10
0.0,-1.32609e-10,1.40901e-11,1.3335545657756194e-10
