voltage,x,y,r
-2.5,1.51435e-13,-4.32101e-13,4.578687949904427e-13
-2.413793103448276,-5.90643e-14,-5.22696e-13,5.260225279876234e-13
-2.3275862068965516,1.29675e-13,-5.31578e-13,5.47166131726919e-13
-2.2413793103448274,-2.70896e-13,-4.79176e-13,5.504491636763562e-13
-2.155172413793103,-9.03726e-14,-5.26693e-13,5.343900476990191e-13
-2.0689655172413794,-3.44171e-14,-5.61998e-13,5.630508758330902e-13
-1.9827586206896552,1.14576e-13,-6.09738e-13,6.204096134168135e-13
-1.896551724137931,2.99762e-14,-4.96051e-13,4.969559006264439e-13
-1.8103448275862069,-4.885e-14,-4.50974e-13,4.5361202715095634e-13
-1.7241379310344827,-2.4425e-14,-4.28104e-13,4.2880020457201275e-13
-1.6379310344827585,3.77478e-14,-4.42315e-13,4.4392280368307286e-13
-1.5517241379310345,1.13465e-13,-4.44535e-13,4.587871755509301e-13
-1.4655172413793103,-7.28311e-14,-4.92498e-13,4.978540440040735e-13
-1.379310344827586,-1.50991e-14,-3.29738e-13,3.300835219528688e-13
-1.293103448275862,1.90959e-14,-5.36019e-13,5.363590418346744e-13
-1.206896551724138,1.9318e-14,-2.64457e-13,2.6516162990334783e-13
-1.1206896551724137,-8.03806e-14,-5.87756e-13,5.932269012716466e-13
-1.0344827586206895,6.68359e-14,-6.31942e-13,6.354665442749995e-13
-0.9482758620689653,9.01505e-14,-4.25883e-13,4.3531993101539703e-13
-0.8620689655172413,-5.3291e-15,-6.10848e-13,6.108712453625642e-13
-0.7758620689655171,-3.28628e-14,-4.20332e-13,4.216146983299325e-13
-0.6896551724137929,5.17366e-14,-5.73323e-13,5.756526193013978e-13
-0.603448275862069,2.15384e-14,-4.472e-13,4.477183742874085e-13
-0.5172413793103448,5.61775e-14,-5.24917e-13,5.279145464895337e-13
-0.43103448275862055,8.03806e-14,-6.1107e-13,6.163339888050635e-13
-0.34482758620689635,-3.99683e-15,-4.83839e-13,4.838555079474128e-13
-0.25862068965517215,1.17684e-14,-2.93545e-13,2.9378080649279997e-13
-0.17241379310344795,-8.88185e-16,-6.0885e-13,6.088506478378702e-13
-0.0862068965517242,1.2701e-13,-7.0122e-13,7.126296573255986e-13
0.0,-7.99366e-15,-5.29358e-13,5.29418351367041e-13
