u	b	c
-5.0	1.13324e-09	-4.08706e-10
-4.333333333333333	5.46951e-10	-3.71758e-10
-3.666666666666667	5.4229e-10	-3.71189e-10
-3.0	5.41721e-10	-3.70735e-10
-2.3333333333333335	5.35469e-10	-3.67665e-10
-1.666666666666667	5.33991e-10	-3.6721e-10
-1.0	5.33081e-10	-3.66983e-10
-0.3333333333333339	5.34332e-10	-3.66983e-10
0.33333333333333304	5.62753e-10	-3.68916e-10
1.0	6.65185e-10	-3.76192e-10
1.666666666666666	7.82851e-10	-3.8415e-10
2.333333333333333	9.66345e-10	-3.96541e-10
3.0	1.118e-09	-4.05523e-10
3.666666666666666	1.23294e-09	-4.12344e-10
4.333333333333332	1.34583e-09	-4.18256e-10
5.0	1.43223e-09	-4.23485e-10
5.666666666666666	1.50693e-09	-4.27805e-10
6.333333333333332	1.56593e-09	-4.31216e-10
7.0	1.62755e-09	-4.3474e-10
