u	b	c
-5.0	9.96131e-10	-3.98474e-10
-4.333333333333333	5.34445e-10	-3.67438e-10
-3.666666666666667	5.31262e-10	-3.6721e-10
-3.0	5.31262e-10	-3.6721e-10
-2.3333333333333335	5.31148e-10	-3.66869e-10
-1.666666666666667	5.31376e-10	-3.6721e-10
-1.0	5.3149e-10	-3.67324e-10
-0.3333333333333339	5.32399e-10	-3.67551e-10
0.33333333333333304	5.6605e-10	-3.69711e-10
1.0	6.74394e-10	-3.76874e-10
1.666666666666666	7.96607e-10	-3.85173e-10
2.333333333333333	9.35081e-10	-3.94381e-10
3.0	1.04729e-09	-4.01544e-10
3.666666666666666	1.14859e-09	-4.0791e-10
4.333333333333332	1.22782e-09	-4.12685e-10
5.0	1.32389e-09	-4.18256e-10
5.666666666666666	1.38835e-09	-4.22121e-10
6.333333333333332	1.4469e-09	-4.25418e-10
7.0	1.50556e-09	-4.28942e-10
