u	b	c
2.0	1.5848e-10	-1.20964e-10
1.8333333333333333	2.07366e-10	-1.24033e-10
1.6666666666666667	2.04978e-10	-1.23351e-10
1.5	2.00999e-10	-1.24261e-10
1.3333333333333335	1.98043e-10	-1.24261e-10
1.1666666666666667	1.94519e-10	-1.23692e-10
1.0	1.90654e-10	-1.23465e-10
0.8333333333333335	1.87357e-10	-1.23237e-10
0.6666666666666667	1.84287e-10	-1.22669e-10
0.5	1.80081e-10	-1.22328e-10
0.3333333333333335	1.77125e-10	-1.22101e-10
0.16666666666666674	1.7326e-10	-1.22101e-10
0.0	1.69622e-10	-1.22101e-10
-0.16666666666666652	1.65643e-10	-1.21759e-10
-0.33333333333333304	1.62573e-10	-1.21873e-10
-0.5	1.60072e-10	-1.21759e-10
-0.6666666666666665	1.58367e-10	-1.21532e-10
-0.833333333333333	1.57912e-10	-1.21418e-10
-1.0	1.57571e-10	-1.21418e-10
-1.1666666666666665	1.57685e-10	-1.21532e-10
-1.333333333333333	1.57685e-10	-1.21418e-10
-1.5	1.5723e-10	-1.21305e-10
-1.6666666666666665	1.56548e-10	-1.21191e-10
-1.833333333333333	1.56889e-10	-1.21418e-10
-2.0	1.57002e-10	-1.21532e-10
