u	b	c
-2.0	9.97495e-10	-3.97792e-10
-1.8333333333333333	5.42062e-10	-3.69143e-10
-1.6666666666666667	5.37401e-10	-3.68802e-10
-1.5	5.3581e-10	-3.68461e-10
-1.3333333333333335	5.35241e-10	-3.68347e-10
-1.1666666666666667	5.35127e-10	-3.68347e-10
-1.0	5.35127e-10	-3.68233e-10
-0.8333333333333335	5.35127e-10	-3.68347e-10
-0.6666666666666667	5.3581e-10	-3.68233e-10
-0.5	5.37856e-10	-3.68347e-10
-0.3333333333333335	5.41949e-10	-3.68688e-10
-0.16666666666666674	5.49452e-10	-3.69257e-10
0.0	5.6048e-10	-3.70052e-10
0.16666666666666652	5.72985e-10	-3.70393e-10
0.33333333333333304	5.88333e-10	-3.71644e-10
0.5	6.0334e-10	-3.73008e-10
0.6666666666666665	6.18119e-10	-3.74486e-10
0.833333333333333	6.33353e-10	-3.75623e-10
1.0	6.48587e-10	-3.76646e-10
1.1666666666666665	6.63139e-10	-3.77556e-10
1.333333333333333	6.76327e-10	-3.78465e-10
1.5	6.90765e-10	-3.79375e-10
1.6666666666666665	7.03384e-10	-3.80171e-10
1.833333333333333	7.17367e-10	-3.81194e-10
2.0	7.32147e-10	-3.8199e-10
