#Thorlabs FTS
[SpectrumHeader]
#Date,20260814
#Time,12420800
#GMTTime,15420800
#Instrument,0
#InstrModel,CCS200
#Series,0
#InterferometerSerial,M00404267
#Type,emission
#ChannelIndex,0
#XAxisUnit,nm_vac
#YAxisUnit,intensity
#Average,1
#RollingAverage,0
#SpectrumSmooth,0
#SSmoothParam1,0
#SSmoothParam2,0
#SSmoothParam3,0
#SSmoothParam4,0
#IntegrationTime,8.010000
#TriggerMode,0
#AirMeasureOpt,0
#AirTemp,0.00
#AirPressure,0.00
#AirRelHum,0.00
#WnrMin,9799.268555
#WnrMax,51674.531250
#Length,3648
#Resolution,0.0000000000e+00
#ADC,0
#InstrStatus,0
#RefLaserLocked,0
#ChannelIndex,0
#AttenuationFilter,0
#Stitched,0
#ExcitationWavelength_nm,0
#SoftwareVersion,3.360000
#FirmwareVersion,
#Motor_FirmwareVersion,
#ReconstructionAlgorithms_SoftwareVersion,
#Sensor_FirmwareVersion,
#InstrSeriesIdentifier,MUN_CCS_SERIES
#RefGainIndex,0
#RefSignalInPerecent,0.0
#BBRefGainIndex,0
#BBRefSignalInPerecent,0.0
#AutogainStatus,0
#Name,
#Comment,""
#ExtComment,""
#Source,
[Data]
1.935262604e+02,-1.438698545e-02
1.937292786e+02,-1.017651241e-02
1.939322968e+02,-1.352940872e-02
1.941353455e+02,-1.228347421e-02
1.943384094e+02,-6.917595863e-03
1.945414886e+02,-4.399127793e-03
1.947445831e+02,-7.085368969e-03
1.949476929e+02,-5.643090699e-03
1.951508179e+02,-1.590893790e-02
1.953539734e+02,-2.231283672e-02
1.955571442e+02,-2.680831123e-03
1.957603149e+02,-1.006728131e-02
1.959635010e+02,-1.668448374e-02
1.961667175e+02,-1.019165106e-02
1.963699341e+02,-1.410417445e-02
1.965731812e+02,-8.990827948e-03
1.967764435e+02,-1.272199396e-02
1.969797211e+02,-2.921071369e-03
1.971830139e+02,-3.696769942e-03
1.973863220e+02,-7.947951555e-03
1.975896301e+02,-6.232043728e-03
1.977929840e+02,-2.721616998e-03
1.979963379e+02,-8.798581548e-03
1.981997070e+02,-1.103507355e-02
1.984030914e+02,6.410303758e-04
1.986064911e+02,-5.768446717e-03
1.988099365e+02,3.134949366e-03
1.990133667e+02,-1.111334562e-02
1.992168121e+02,3.861779813e-03
1.994202881e+02,-6.291725207e-03
1.996237793e+02,-4.869669676e-03
1.998272705e+02,3.157296916e-03
