u	b	c
-5.0	1.78845e-11	-1.44476e-10
-4.583333333333333	1.09353e-11	-1.44028e-10
-4.166666666666667	9.68475e-12	-1.44291e-10
-3.75	9.19448e-12	-1.44163e-10
-3.333333333333333	8.78947e-12	-1.44056e-10
-2.9166666666666665	1.03242e-11	-1.44056e-10
-2.5	9.85528e-12	-1.4395e-10
-2.083333333333333	9.81976e-12	-1.44092e-10
-1.6666666666666665	9.40764e-12	-1.43985e-10
-1.25	9.06658e-12	-1.43992e-10
-0.833333333333333	1.01253e-11	-1.43829e-10
-0.4166666666666661	9.46448e-12	-1.44092e-10
0.0	9.30106e-12	-1.4395e-10
0.41666666666666696	9.59949e-12	-1.43971e-10
0.8333333333333339	1.04877e-11	-1.43921e-10
1.25	1.16032e-11	-1.43864e-10
1.666666666666667	1.2129e-11	-1.44085e-10
2.083333333333334	1.28609e-11	-1.44269e-10
2.5	1.33512e-11	-1.44241e-10
2.916666666666667	1.3948e-11	-1.44227e-10
3.333333333333334	1.41043e-11	-1.44227e-10
3.75	1.48149e-11	-1.44341e-10
4.166666666666668	1.58239e-11	-1.44426e-10
4.583333333333334	1.61294e-11	-1.44369e-10
5.0	1.6641e-11	-1.44383e-10
