u	b	c
-5.0	1.56249e-11	-1.4287e-10
-4.583333333333333	1.12622e-11	-1.42642e-10
-4.166666666666667	1.11058e-11	-1.42891e-10
-3.75	1.11058e-11	-1.42742e-10
-3.333333333333333	1.06582e-11	-1.42934e-10
-2.9166666666666665	1.11485e-11	-1.42962e-10
-2.5	1.08358e-11	-1.42905e-10
-2.083333333333333	1.10277e-11	-1.42799e-10
-1.6666666666666665	1.15606e-11	-1.42749e-10
-1.25	1.14469e-11	-1.42735e-10
-0.833333333333333	1.13616e-11	-1.42927e-10
-0.4166666666666661	1.09922e-11	-1.42699e-10
0.0	1.07364e-11	-1.42763e-10
0.41666666666666696	1.11698e-11	-1.42884e-10
0.8333333333333339	1.15393e-11	-1.4287e-10
1.25	1.22924e-11	-1.42784e-10
1.666666666666667	1.27046e-11	-1.42877e-10
2.083333333333334	1.31877e-11	-1.43033e-10
2.5	1.39054e-11	-1.42898e-10
2.916666666666667	1.39125e-11	-1.42912e-10
3.333333333333334	1.39835e-11	-1.43118e-10
3.75	1.45093e-11	-1.43012e-10
4.166666666666668	1.45733e-11	-1.42927e-10
4.583333333333334	1.50281e-11	-1.42991e-10
5.0	1.51702e-11	-1.42998e-10
