u	b	c
-5.0	3.82487e-11	-1.4584e-10
-4.583333333333333	8.48394e-12	-1.44127e-10
-4.166666666666667	7.96524e-12	-1.44198e-10
-3.75	8.65447e-12	-1.44277e-10
-3.333333333333333	8.61894e-12	-1.44809e-10
-2.9166666666666665	8.47683e-12	-1.44035e-10
-2.5	8.5692e-12	-1.43914e-10
-2.083333333333333	8.73973e-12	-1.44142e-10
-1.6666666666666665	7.72366e-12	-1.44163e-10
-1.25	7.85155e-12	-1.43943e-10
-0.833333333333333	8.37735e-12	-1.44312e-10
-0.4166666666666661	7.85155e-12	-1.44234e-10
0.0	8.24235e-12	-1.44085e-10
0.41666666666666696	1.01111e-11	-1.44255e-10
0.8333333333333339	1.36212e-11	-1.44547e-10
1.25	1.76784e-11	-1.45243e-10
1.666666666666667	2.05206e-11	-1.45008e-10
2.083333333333334	2.31212e-11	-1.45151e-10
2.5	2.56791e-11	-1.45236e-10
2.916666666666667	2.78392e-11	-1.45527e-10
3.333333333333334	2.94167e-11	-1.45421e-10
3.75	3.1058e-11	-1.45719e-10
4.166666666666668	3.26568e-11	-1.45527e-10
4.583333333333334	3.39215e-11	-1.45762e-10
5.0	3.57618e-11	-1.45762e-10
