u	b	c
-5.0	1.18874e-11	-1.43452e-10
-4.583333333333333	9.26553e-12	-1.43147e-10
-4.166666666666667	9.18027e-12	-1.43324e-10
-3.75	9.01684e-12	-1.43261e-10
-3.333333333333333	9.51422e-12	-1.43332e-10
-2.9166666666666665	9.52843e-12	-1.43346e-10
-2.5	9.47159e-12	-1.43353e-10
-2.083333333333333	9.28685e-12	-1.43317e-10
-1.6666666666666665	9.37922e-12	-1.43381e-10
-1.25	9.54264e-12	-1.43111e-10
-0.833333333333333	9.96186e-12	-1.43204e-10
-0.4166666666666661	1.04237e-11	-1.43218e-10
0.0	9.89081e-12	-1.43289e-10
0.41666666666666696	9.51422e-12	-1.43239e-10
0.8333333333333339	9.38633e-12	-1.43182e-10
1.25	9.79844e-12	-1.43175e-10
1.666666666666667	9.85528e-12	-1.43182e-10
2.083333333333334	1.07506e-11	-1.43062e-10
2.5	1.10419e-11	-1.42848e-10
2.916666666666667	1.19088e-11	-1.43168e-10
3.333333333333334	1.23777e-11	-1.43026e-10
3.75	1.19514e-11	-1.43154e-10
4.166666666666668	1.16245e-11	-1.43154e-10
4.583333333333334	1.23209e-11	-1.42955e-10
5.0	1.2264e-11	-1.4304e-10
